metric_id,metric,method_id,method,mean_0p005,std_0p005,is_best_0p005,mean_0p010,std_0p010,is_best_0p010,mean_0p050,std_0p050,is_best_0p050,mean_0p100,std_0p100,is_best_0p100
mae,MAE,wallpath_extra,WallPath-PI,2.22779507350922,0.0020468784871257,False,1.92118836259842,0.005743216272684,False,1.32351690642039,0.0029577525152406,True,1.08408841105302,0.0007683738172423,True
mae,MAE,direct_rf_all_features,Direct RF,2.15627119930585,0.0057810662528588,True,1.89770197359721,0.0042484491249013,True,1.36855946683884,0.0038407001509504,False,1.13664094773928,0.002457059620219,False
mae,MAE,direct_extra_all_features,Direct ExtraTrees,2.16775864140193,0.0114611431517412,False,1.90842371074359,0.0097153462817655,False,1.39471018997828,0.0041819909015206,False,1.17966358653704,0.004008230213721,False
mae,MAE,multi_wall_residual_idw,Multi-wall residual-IDW,2.73385458215078,0.0037848814173436,False,2.45831915458043,0.0043437009444378,False,1.98490685987473,0.0052219131665116,False,1.79601050790151,0.0003770725354209,False
mae,MAE,idw,IDW,3.51140607802073,0.0008812943696843,False,3.11897067292531,0.0048604883954714,False,2.46964420286814,0.0031464979130564,False,2.22376876417796,0.0025594681649541,False
mae,MAE,multi_wall,Multi-wall,4.59577949396769,0.0105800836264314,False,4.55894603125254,0.003171356437204,False,4.54474666468302,0.002603694778016,False,4.54431702486674,0.0017328252824649,False
mae,MAE,log_distance,Log-distance,6.02919517358144,0.0024724066334712,False,6.00894584560394,0.0040216027065224,False,5.99331746419271,0.0013968693255279,False,5.99061793899536,0.0008731980107785,False
p90_ae,P90 absolute error,wallpath_extra,WallPath-PI,5.42205053806305,0.00862123142608,False,4.80839833577474,0.0160852417414896,False,3.48013394737244,0.0059754424253646,True,2.90559896675746,0.0002402183486395,True
p90_ae,P90 absolute error,direct_rf_all_features,Direct RF,5.35749474112193,0.0275713158332274,False,4.77586900011698,0.0156264324374677,True,3.52680831003189,0.0100354470536805,False,2.97809411970774,0.0069732747457991,False
p90_ae,P90 absolute error,direct_extra_all_features,Direct ExtraTrees,5.35470061969757,0.0311688460013958,True,4.7805582447052,0.0298739033620414,False,3.55276443815231,0.0105665127015923,False,3.02747859970729,0.0098785501550872,False
p90_ae,P90 absolute error,multi_wall_residual_idw,Multi-wall residual-IDW,6.14658066813151,0.0032787008470794,False,5.58636879825592,0.0194171772870308,False,4.57777790705363,0.0109392310025563,False,4.23219571050008,0.0028919357114339,False
p90_ae,P90 absolute error,idw,IDW,7.81251979573568,0.014069559902541,False,6.93846264584859,0.0164877065410532,False,5.49604783630371,0.0077669007878521,False,5.03774548753103,0.0072184398536775,False
p90_ae,P90 absolute error,multi_wall,Multi-wall,9.41720884768168,0.0186911717935559,False,9.37176228396098,0.0112608086167524,False,9.33647718111674,0.0187265024561743,False,9.34268702443441,0.0047739568813984,False
p90_ae,P90 absolute error,log_distance,Log-distance,12.1715979862213,0.0131220139042057,False,12.1262713572184,0.0025584214481161,False,12.0948137372335,0.0086465916079437,False,12.0889896278381,0.0042977905818231,False
