fold,anchor_fraction,anchor_seed,model_seed,adapted_method,baseline_method,test_count,adapted_rmse,baseline_rmse,rmse_improvement_percent,adapted_mae,baseline_mae,mae_improvement_percent,adapted_p90_ae,baseline_p90_ae,p90_improvement_percent,adapted_point_wins,baseline_point_wins,ties,adapted_point_win_percent
holdout_Comms,0.01,11,11,bias_calibrated_log_distance,log_distance,1373,10.314470649127893,15.597888053079437,33.87264600163903,8.69856640774475,13.048013061215958,33.33416845204996,16.350480561498895,25.671258900644755,36.30822459942454,854,519,0,62.19956300072833
holdout_Comms,0.01,22,11,bias_calibrated_log_distance,log_distance,1373,9.475787155760845,15.62389119394624,39.35065830826824,8.010752712626507,13.064789804927193,38.68441182570446,15.29614837741516,25.671258900644755,40.41527750307959,935,438,0,68.09905316824472
holdout_Comms,0.01,33,11,bias_calibrated_log_distance,log_distance,1373,10.406259347739303,15.594030494319174,33.26767347588393,8.778210391581641,13.044517738126554,32.705749895799805,16.543553013147378,25.66789076121097,35.54767251017053,846,527,0,61.61689730517116
holdout_Comms,0.05,11,11,bias_calibrated_log_distance,log_distance,1318,9.074409993004522,15.66672088385744,42.07843453473058,7.573328228658427,13.110424183782161,42.2343005649903,14.554767147116085,25.6818798276945,43.32670643750658,963,355,0,73.06525037936267
holdout_Comms,0.05,22,11,bias_calibrated_log_distance,log_distance,1318,9.07119480764778,15.624895529872282,41.94396506328559,7.614370302768437,13.078771204892139,41.78069037617029,14.408337246598183,25.6818798276945,43.896874593032315,939,379,0,71.2443095599393
holdout_Comms,0.05,33,11,bias_calibrated_log_distance,log_distance,1318,9.046782582172051,15.649783558330387,42.192283053292165,7.544075367606762,13.102970807532175,42.42469529680941,14.534053738514926,25.68828722620205,43.42147605820059,965,353,0,73.21699544764795
holdout_Comms,0.1,11,11,bias_calibrated_log_distance,log_distance,1248,9.252840008718229,15.45466325440628,40.12913865282602,7.8044355069419,12.901068685230399,39.50551154047653,15.021981298245732,25.479290719196303,41.04238825247969,860,388,0,68.91025641025641
holdout_Comms,0.1,22,11,bias_calibrated_log_distance,log_distance,1248,9.072951819155842,15.703936622636736,42.224984491611714,7.531538179791672,13.176049030177154,42.839176125239355,14.870671578500641,25.81298469986024,42.39073182970137,931,317,0,74.59935897435898
holdout_Comms,0.1,33,11,bias_calibrated_log_distance,log_distance,1248,8.988551882499166,15.634752972508483,42.50915317751248,7.490542258823063,13.115982379139114,42.88996399738442,14.516332050335617,25.6818798276945,43.47636486219487,921,327,0,73.79807692307693
holdout_Library,0.01,11,11,bias_calibrated_log_distance,log_distance,680,7.37594880593309,15.39802408692252,52.09808242735863,5.990802899999176,13.94012398195609,57.02475166107854,11.971719616259636,22.425448019121085,46.61547182445615,572,108,0,84.11764705882354
