run,expected_split,expected_seed,expected_unique_test_points,actual_unique_test_points,fold_rows,sample_rows,pooled_rows,status,failed_checks,run_directory_exists,has_final_evaluation_results.csv,has_per_sample_metrics.csv,has_pooled_evaluation_results.csv,has_run_summary.json,split_correct,seed_correct,rows_before_2293,rows_removed_5,rows_after_2288,source_fingerprints_match,fold_metric_columns_present,fold_metrics_finite,sample_metric_columns_present,sample_metrics_finite,pooled_metric_columns_present,pooled_metrics_finite,unique_test_points_correct,prediction_keys_unique,fewshot_model_seed_11,anchor_seeds_11_22_33,seed_separation_recorded,anchors_excluded_from_scoring
external_3p5ghz_leave_config_out_seed11,leave_config_out,11,2288,2288,12,13728,6,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,
external_3p5ghz_leave_config_out_seed22,leave_config_out,22,2288,2288,12,13728,6,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,
external_3p5ghz_leave_config_out_seed33,leave_config_out,33,2288,2288,12,13728,6,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,
external_3p5ghz_leave_scenario_out_seed11,leave_scenario_out,11,2288,2288,18,13728,6,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,
external_3p5ghz_leave_scenario_out_seed22,leave_scenario_out,22,2288,2288,18,13728,6,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,
external_3p5ghz_leave_scenario_out_seed33,leave_scenario_out,33,2288,2288,18,13728,6,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,
external_3p5ghz_random_seed11,random,11,458,458,6,2748,6,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,
external_3p5ghz_random_seed22,random,22,458,458,6,2748,6,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,
external_3p5ghz_random_seed33,random,33,458,458,6,2748,6,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,
external_3p5ghz_fewshot_modelseed11,leave_scenario_fewshot,11,2288,2288,216,155952,72,PASS,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
