scenario,config,source_file,_source_row,coord,distance_m,pl_db,num_brick_wall,num_wood_wall,num_glass_wall,num_drywall,num_column,elevator,missing_wall_columns
Comms,C1,PL_Comms_C1.csv,0,E-1,28.0,122.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,1,G-1,28.0713377,106.0,3.0,1.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,2,I-1,28.28427125,100.0,2.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,3,J-1,28.44292531,103.0,3.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,4,K-1,28.63564213,109.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,5,A-2,27.29468813,122.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,6,E-2,27.0,122.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,7,G-2,27.07397274,100.0,3.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,8,H-2,27.16615541,101.0,2.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,9,I-2,27.29468813,99.0,2.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,10,J-2,27.45906044,103.0,4.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,11,K-2,27.65863337,105.0,4.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,12,E-3,26.0,108.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,13,F-3,26.01922366,95.0,5.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,14,G-3,26.07680962,100.0,3.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,15,H-3,26.17250466,99.0,2.0,1.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,16,I-3,26.30589288,96.0,2.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,17,J-3,26.47640459,99.0,4.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,18,K-3,26.68332813,106.0,4.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,19,A-4,25.3179778,118.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,20,E-4,25.0,109.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,21,F-4,25.01999201,97.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,22,G-4,25.07987241,93.0,3.0,1.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,23,H-4,25.17935662,100.0,1.0,1.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,24,I-4,25.3179778,115.0,2.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,25,J-4,25.49509757,116.0,4.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,26,K-4,25.70992026,103.0,5.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,27,A-5,24.33105012,115.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,28,B-5,24.18677324,115.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,29,C-5,24.08318916,111.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,30,D-5,24.0208243,116.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,31,E-5,24.0,109.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,32,F-5,24.0208243,93.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,33,G-5,24.08318916,91.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,34,H-5,24.18677324,86.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,35,I-5,24.33105012,108.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,36,J-5,24.51530134,101.0,4.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,37,D-6,23.02172887,105.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,38,E-6,23.0,110.0,6.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,39,F-6,23.02172887,94.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,40,G-6,23.08679276,90.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,41,H-6,23.19482701,99.0,2.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,42,I-6,23.34523506,109.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,43,J-6,23.53720459,107.0,4.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,44,A-7,22.36067977,117.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,45,B-7,22.20360331,112.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,46,C-7,22.09072203,111.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,47,D-7,22.02271555,112.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,48,E-7,22.0,112.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,49,F-7,22.02271555,97.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,50,G-7,22.09072203,88.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,51,H-7,22.20360331,87.0,2.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,52,I-7,22.36067977,94.0,4.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,53,A-8,21.37755833,118.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,54,B-8,21.21320344,112.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,55,C-8,21.09502311,114.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,56,D-8,21.02379604,112.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,57,E-8,21.0,109.0,5.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,58,F-8,21.02379604,85.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,59,G-8,21.09502311,89.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,60,H-8,21.21320344,87.0,2.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,61,I-8,21.37755833,98.0,4.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,62,J-8,21.58703314,107.0,4.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,63,F-9,20.02498439,96.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,64,G-9,20.09975124,89.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,65,H-9,20.22374842,93.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,66,A-10,19.41648784,110.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,67,B-10,19.23538406,104.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,68,C-10,19.10497317,103.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,69,D-10,19.02629759,106.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,70,E-10,19.0,103.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,71,F-10,19.02629759,90.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,72,G-10,19.10497317,88.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,73,H-10,19.23538406,83.0,2.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,74,I-10,19.41648784,118.0,4.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,75,J-10,19.6468827,102.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,76,K-10,19.92485885,104.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,77,L-10,20.24845673,96.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,78,M-10,20.61552813,101.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,79,N-10,21.02379604,107.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,80,O-10,21.47091055,107.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,81,P-10,21.9544984,112.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,82,A-11,18.43908891,105.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,83,B-11,18.24828759,108.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,84,C-11,18.11077028,104.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,85,D-11,18.02775638,106.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,86,E-11,18.0,99.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,87,F-11,18.02775638,85.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,88,G-11,18.11077028,84.0,2.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,89,H-11,18.24828759,84.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,90,I-11,18.43908891,104.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,91,J-11,18.68154169,102.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,92,K-11,18.97366596,101.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,93,L-11,19.31320792,97.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,94,M-11,19.6977156,103.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,95,N-11,20.1246118,109.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,96,O-11,20.59126028,114.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,97,P-11,21.09502311,116.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,98,A-12,17.4642492,116.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,99,B-12,17.2626765,114.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,100,C-12,17.11724277,109.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,101,D-12,17.02938637,102.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,102,E-12,17.0,102.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,103,F-12,17.02938637,98.0,4.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,104,G-12,17.11724277,94.0,2.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,105,H-12,17.2626765,88.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,106,I-12,17.4642492,103.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,107,J-12,17.72004515,108.0,3.0,0.0,1.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,108,K-12,18.02775638,102.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,109,M-12,18.78829423,113.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,110,N-12,19.23538406,102.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,111,O-12,19.72308292,111.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,112,P-12,20.24845673,104.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,113,A-13,16.4924225,92.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,114,B-13,16.2788206,94.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,115,C-13,16.1245155,94.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,116,D-13,16.03121954,97.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,117,E-13,16.0,95.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,118,F-13,16.03121954,87.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,119,G-13,16.1245155,91.0,2.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,120,H-13,16.2788206,85.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,121,I-13,16.4924225,106.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,122,J-13,16.76305461,99.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,123,L-13,17.4642492,100.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,124,M-13,17.88854382,115.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,125,N-13,18.35755975,109.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,126,P-13,19.41648784,113.0,3.0,2.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,127,A-14,15.5241747,93.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,128,B-14,15.29705854,98.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,129,C-14,15.13274595,95.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,130,D-14,15.03329638,99.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,131,E-14,15.0,93.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,132,F-14,15.03329638,86.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,133,G-14,15.13274595,85.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,134,H-14,15.29705854,97.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,135,I-14,15.5241747,97.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,136,J-14,15.8113883,97.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,137,L-14,16.55294536,99.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,138,A-15,14.56021978,90.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,139,B-15,14.31782106,99.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,140,C-15,14.14213562,96.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,141,D-15,14.03566885,95.0,3.0,1.0,0.0,0.0,0.0,,elevator
