scenario,config,source_file,coord,pl_db,p_rx_dbm,derived_pl_db,pl_minus_derived_db,consistent_with_received_power
Comms,C1,PL_Comms_C1.csv,E-1,122.0,-112.0,122.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-1,106.0,-96.0,106.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-1,100.0,-90.0,100.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-1,103.0,-93.0,103.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-1,109.0,-99.0,109.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-2,122.0,-112.0,122.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-2,122.0,-112.0,122.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-2,100.0,-90.0,100.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-2,101.0,-91.0,101.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-2,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-2,103.0,-93.0,103.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-2,105.0,-95.0,105.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-3,108.0,-98.0,108.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-3,95.0,-85.0,95.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-3,100.0,-90.0,100.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-3,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-3,96.0,-86.0,96.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-3,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-3,106.0,-96.0,106.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-4,118.0,-108.0,118.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-4,109.0,-99.0,109.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-4,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-4,93.0,-83.0,93.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-4,100.0,-90.0,100.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-4,115.0,-105.0,115.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-4,116.0,-106.0,116.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-4,103.0,-93.0,103.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-5,115.0,-105.0,115.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-5,115.0,-105.0,115.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-5,111.0,-101.0,111.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-5,116.0,-106.0,116.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-5,109.0,-99.0,109.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-5,93.0,-83.0,93.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-5,91.0,-81.0,91.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-5,86.0,-76.0,86.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-5,108.0,-98.0,108.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-5,101.0,-91.0,101.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-6,105.0,-95.0,105.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-6,110.0,-100.0,110.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-6,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-6,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-6,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-6,109.0,-99.0,109.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-6,107.0,-97.0,107.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-7,117.0,-107.0,117.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-7,112.0,-102.0,112.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-7,111.0,-101.0,111.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-7,112.0,-102.0,112.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-7,112.0,-102.0,112.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-7,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-7,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-7,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-7,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-8,118.0,-108.0,118.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-8,112.0,-102.0,112.0,0.0,True
