row_uid,scenario,config,source_file,coord,distance_m,target_pl_db,method,pred_pl_db,error_db,abs_error_db,split,random_seed,fold
PL_Comms_C2.csv::G-5,Comms,C2,PL_Comms_C2.csv,G-5,24.11381813,90.0,log_distance,101.54780316252021,11.54780316252021,11.54780316252021,random,22,random
PL_Comms_C1.csv::F-21,Comms,C1,PL_Comms_C1.csv,F-21,8.062257748,74.0,log_distance,82.77782403734705,8.777824037347045,8.777824037347045,random,22,random
PL_SSE_C1.csv::D-7,SSE,C1,PL_SSE_C1.csv,D-7,10.44030651,101.0,log_distance,87.20618110525794,-13.79381889474206,13.79381889474206,random,22,random
PL_Comms_C2.csv::K-3,Comms,C2,PL_Comms_C2.csv,K-3,26.71097574,106.0,log_distance,103.30025580450835,-2.699744195491647,2.699744195491647,random,22,random
PL_Comms_C2.csv::E-31,Comms,C2,PL_Comms_C2.csv,E-31,2.340133543,88.0,log_distance,61.58543932913601,-26.41456067086399,26.41456067086399,random,22,random
PL_Comms_C1.csv::H-55,Comms,C1,PL_Comms_C1.csv,H-55,26.17250466,98.0,log_distance,102.95135454990782,4.951354549907819,4.951354549907819,random,22,random
PL_Comms_C2.csv::C-56,Comms,C2,PL_Comms_C2.csv,C-56,27.10122184,118.0,log_distance,103.5487467821491,-14.451253217850905,14.451253217850905,random,22,random
PL_Library_C1.csv::G-12,Library,C1,PL_Library_C1.csv,G-12,10.9244,74.0,log_distance,87.98269962708659,13.982699627086589,13.982699627086589,random,22,random
PL_Comms_C2.csv::D-44,Comms,C2,PL_Comms_C2.csv,D-44,15.08231497,101.0,log_distance,93.50827195975694,-7.491728040243061,7.491728040243061,random,22,random
PL_SSE_C1.csv::K-5,SSE,C1,PL_SSE_C1.csv,K-5,5.830951895,80.0,log_distance,77.22673610713201,-2.7732638928679876,2.7732638928679876,random,22,random
PL_Comms_C1.csv::H-27,Comms,C1,PL_Comms_C1.csv,H-27,3.605551275,70.0,log_distance,68.99115328958254,-1.0088467104174583,1.0088467104174583,random,22,random
PL_Library_C1.csv::J-8,Library,C1,PL_Library_C1.csv,J-8,12.1195,78.0,log_distance,89.76131996556377,11.761319965563771,11.761319965563771,random,22,random
PL_Library_C2.csv::W-19,Library,C2,PL_Library_C2.csv,W-19,12.91195086,86.0,log_distance,90.8464371432609,4.8464371432609,4.8464371432609,random,22,random
PL_Library_C1.csv::P-17,Library,C1,PL_Library_C1.csv,P-17,3.0299,67.0,log_distance,66.01107770921237,-0.9889222907876274,0.9889222907876274,random,22,random
PL_Comms_C1.csv::O-36,Comms,C1,PL_Comms_C1.csv,O-36,12.20655562,91.0,log_distance,89.88394302264564,-1.1160569773543614,1.1160569773543614,random,22,random
PL_Comms_C2.csv::H-50,Comms,C2,PL_Comms_C2.csv,H-50,21.2479699,99.0,log_distance,99.38016390731602,0.38016390731601746,0.38016390731601746,random,22,random
PL_Comms_C2.csv::A-18,Comms,C2,PL_Comms_C2.csv,A-18,11.76759215,96.0,log_distance,89.25649333162215,-6.743506668377847,6.743506668377847,random,22,random
PL_Comms_C2.csv::K-50,Comms,C2,PL_Comms_C2.csv,K-50,21.87409941,107.0,log_distance,99.8777179630629,-7.122282036937094,7.122282036937094,random,22,random
PL_Library_C1.csv::P-23,Library,C1,PL_Library_C1.csv,P-23,9.8645,65.0,log_distance,86.23424136177839,21.234241361778388,21.234241361778388,random,22,random
PL_Library_C1.csv::T-12,Library,C1,PL_Library_C1.csv,T-12,9.771,75.0,log_distance,86.07107970881154,11.071079708811538,11.071079708811538,random,22,random
PL_Library_C1.csv::V-14,Library,C1,PL_Library_C1.csv,V-14,11.1736,80.0,log_distance,88.36911878294818,8.369118782948178,8.369118782948178,random,22,random
PL_Library_C1.csv::O-9,Library,C1,PL_Library_C1.csv,O-9,9.5813,64.0,log_distance,85.7351922246216,21.7351922246216,21.7351922246216,random,22,random
PL_Comms_C1.csv::L-21,Comms,C1,PL_Comms_C1.csv,L-21,10.63014581,95.0,log_distance,87.51490424654736,-7.48509575345264,7.48509575345264,random,22,random
PL_Comms_C1.csv::M-23,Comms,C1,PL_Comms_C1.csv,M-23,10.0,98.0,log_distance,86.46797087829657,-11.532029121703431,11.532029121703431,random,22,random
