method,sparse_rate,sparse_seed,anchor_count,anchor_count_std,valid_count,valid_count_std,mw_anchor_count,mw_anchor_count_std,mw_design_rank,mw_design_rank_std,rmse,rmse_std,mae,mae_std,median_ae,median_ae_std,p90_ae,p90_ae_std,p95_ae,p95_ae_std,bias_db,bias_db_std,std_error_db,std_error_db_std,count,count_std,los_rmse,los_rmse_std,nlos_rmse,nlos_rmse_std,high_wall_rmse,high_wall_rmse_std,unclipped_rmse,unclipped_rmse_std,unclipped_count,unclipped_count_std,clipped_pixel_fraction,clipped_pixel_fraction_std,non_anchor_rmse,non_anchor_rmse_std,non_anchor_mae,non_anchor_mae_std,non_anchor_p90_ae,non_anchor_p90_ae_std,non_anchor_count,non_anchor_count_std,non_anchor_los_rmse,non_anchor_los_rmse_std,non_anchor_nlos_rmse,non_anchor_nlos_rmse_std,free_space_rmse,free_space_rmse_std,free_space_mae,free_space_mae_std,free_space_p90_ae,free_space_p90_ae_std,free_space_count,free_space_count_std,wall_region_rmse,wall_region_rmse_std,rmse_delta_vs_multi_wall,rmse_delta_vs_multi_wall_std,rmse_delta_vs_direct_rf,rmse_delta_vs_direct_rf_std,num_rows,train_source,target_dataset,retrained,source_seed,source_run
wallpath_extra,0.01,11,692.0,621.9023101027053,69171.2,62205.51581671863,692.0,621.9023101027053,3.2,0.5419639901526325,4.817997633338019,2.2544602745596745,3.248854552666346,1.7324620202062015,2.0195134811401365,1.415900034885557,7.970702411651612,3.777470529525507,10.411104658444724,4.568616599813728,-0.3661973365409067,0.9956891800550528,4.752652881940206,2.141059129264879,69171.2,62205.51581671863,2.746318082868365,2.457028226307657,4.957632128849324,2.2803118489758893,5.1498864069373065,2.3285075016165067,4.714715395330192,2.0750406233775944,68413.60266666667,61377.76316659457,0.0120102764942948,0.0408219035450864,4.838799326164887,2.261569965002715,3.27222065615654,1.7410578929710547,8.004547259966532,3.785800511852436,68479.2,61583.613542098494,2.757319247986397,2.4634498737208568,4.979042498598774,2.2875308441242623,4.665151568263224,2.2161056962727868,3.1373083700339,1.6977793398496912,7.728619649887085,3.72922390019597,66369.0,60939.29804372065,6.932061491520331,2.7786425340192964,-4.512723056912726,2.126024168045153,-0.1080874906773297,0.5015538578184693,750,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task2_unseen_buildings_transfer,False,11,results\transfer_task1_to_task2_final_seed11_r001
direct_rf_all_features,0.01,11,692.0,621.9023101027053,69171.2,62205.51581671863,692.0,621.9023101027053,3.2,0.5419639901526325,4.926085124015347,2.498889753318484,3.427080560445785,1.9362378551052584,2.2351288871765136,1.5750108955640412,8.262123429616292,4.326219958385013,10.560767857551577,4.879460901747346,-0.787773804445751,1.3428467621468994,4.789291691303253,2.269711271614224,69171.2,62205.51581671863,2.227783054558224,1.6992093065153109,5.078382137296553,2.541722693478782,5.282992252102448,2.615771306225406,4.728331785015707,2.119945710466879,68413.60266666667,61377.76316659457,0.0120102764942948,0.0408219035450864,4.94517352937508,2.5044395047113284,3.4473950005372367,1.942955105680226,8.292101406097412,4.3300946307993815,68479.2,61583.613542098494,2.234314358637979,1.7063247704676117,5.0981312061665065,2.547318838624228,4.799014881231133,2.47425172707786,3.326099750995636,1.908969593267518,8.049672739028932,4.319527637211818,66369.0,60939.29804372065,6.766674205096611,2.798330591203043,-4.404635566235397,2.0914435697232583,0.0,0.0,750,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task2_unseen_buildings_transfer,False,11,results\transfer_task1_to_task2_final_seed11_r001
wallpath_calibrated,0.01,11,692.0,621.9023101027053,69171.2,62205.51581671863,692.0,621.9023101027053,3.2,0.5419639901526325,5.137054405537167,2.4413240291242,3.671051005681356,1.8610628072731752,2.5500968373616537,1.4944994532812363,8.491000728607178,4.08821335749625,10.886125398953755,5.033293087791578,-1.2697960137901827,1.3609644935451248,4.909419512271881,2.187306964220271,69171.2,62205.51581671863,2.170548077638629,1.5876223866376216,5.294988350102808,2.4862396356667125,5.506081611173896,2.546605831466485,5.046435911292192,2.297018137570219,68413.60266666667,61377.76316659457,0.0120102764942948,0.0408219035450864,5.158298910123914,2.4490700422133256,3.69469530916214,1.8692832694222052,8.523219278971354,4.0986207870587394,68479.2,61583.613542098494,2.179375878229601,1.5938730988381724,5.316940776601644,2.494212999280519,5.017328602857021,2.4092327278766907,3.577063363234202,1.8315735627454337,8.293700433095296,4.047665856178655,66369.0,60939.29804372065,6.878314205039805,2.8047375611370007,-4.193666284713577,1.9266104226436276,0.2109692815218208,0.7832741777388624,750,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task2_unseen_buildings_transfer,False,11,results\transfer_task1_to_task2_final_seed11_r001
wallpath_rf,0.01,11,692.0,621.9023101027053,69171.2,62205.51581671863,692.0,621.9023101027053,3.2,0.5419639901526325,5.2180606935023,2.9910741781099683,3.440398535410563,2.124774910197466,2.0560778795878094,1.5129006931779678,8.545276049296062,5.000474418697911,11.336557857195537,6.463836847273094,-0.5024439686009428,1.478456209663069,5.115756238142649,2.750958728412272,69171.2,62205.51581671863,2.927081737831227,2.606125574591656,5.368814243970296,3.0387957769420635,5.591490223555297,3.1384677639810943,5.035969162810821,2.530220786237041,68413.60266666667,61377.76316659457,0.0120102764942948,0.0408219035450864,5.237136277772055,2.993471077084788,3.462640906095505,2.1313937265343843,8.579058877944947,5.006318485867021,68479.2,61583.613542098494,2.9391250277597045,2.613053995655904,5.388406786185479,3.040985069259011,5.058274935216082,2.9614319373331988,3.324926458199819,2.0915723305561245,8.293811016718546,4.961567651504415,66369.0,60939.29804372065,7.403396225420234,3.49907690577048,-4.1126599967484445,2.3740910582681103,0.2919755694869527,0.7166780540204796,750,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task2_unseen_buildings_transfer,False,11,results\transfer_task1_to_task2_final_seed11_r001
direct_extra_all_features,0.01,11,692.0,621.9023101027053,69171.2,62205.51581671863,692.0,621.9023101027053,3.2,0.5419639901526325,5.470230101549173,3.643942566582668,3.974104702234268,2.958256799820027,2.806516211191813,2.578116354564556,9.168002900441488,6.250314525693967,11.55098010190328,6.95942893464684,-1.964150647010673,2.9910479418103173,4.892656908035279,2.542314588682053,69171.2,62205.51581671863,2.3897579203217005,1.47575782259228,5.619691049086255,3.719303718137426,5.860207585520749,3.866816767082901,5.190970067959766,2.989468287457936,68413.60266666667,61377.76316659457,0.0120102764942948,0.0408219035450864,5.487023638824001,3.646241547390247,3.9901948379675543,2.959409182049736,9.196267605781555,6.251987291069179,68479.2,61583.613542098494,2.389534970907736,1.4758724442382274,5.637424334382793,3.7216141620989593,5.3721328170773575,3.648756551604069,3.895676128784816,2.9580889233041514,8.99479090086619,6.272268541271928,66369.0,60939.29804372065,6.974153760302776,3.5617174166928662,-3.86049058870157,2.578771086402189,0.5441449775338263,1.32901282949481,750,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task2_unseen_buildings_transfer,False,11,results\transfer_task1_to_task2_final_seed11_r001
multi_wall_residual_idw,0.01,11,692.0,621.9023101027053,69171.2,62205.51581671863,692.0,621.9023101027053,3.2,0.5419639901526325,5.6321986127742285,2.2548538182134314,3.932383859793345,1.632740914123119,2.779891134897868,1.2434816637981068,8.881396409988403,3.653617963819178,11.419688009897868,4.627535352732799,0.0144492171356881,0.4189267699161866,5.620190715789795,2.246160480064729,69171.2,62205.51581671863,4.866164516218314,3.242577387176325,5.728374702513085,2.3009185968924597,5.919792044785953,2.35852385586465,5.619494022024192,2.2455541405869166,68413.60266666667,61377.76316659457,0.0120102764942948,0.0408219035450864,5.660606659808548,2.266239817590256,3.972152368545532,1.6492696798219564,8.91902172311147,3.668406773688575,68479.2,61583.613542098494,4.890324162525388,3.2555284638259026,5.757232723892466,2.3125011730490224,5.453094268136232,2.176640731898679,3.829227017402649,1.5916956599932832,8.679194760640462,3.57466533846516,66369.0,60939.29804372065,7.926984737393953,3.4954703705282597,-3.698522077476516,1.841472114086508,0.7061134887588815,1.0712711440081168,750,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task2_unseen_buildings_transfer,False,11,results\transfer_task1_to_task2_final_seed11_r001
idw,0.01,11,692.0,621.9023101027053,69171.2,62205.51581671863,692.0,621.9023101027053,3.2,0.5419639901526325,6.160260664342784,2.2343379954979774,4.583556419213613,1.709765193461401,3.482923639933268,1.393130677095182,10.147913064956663,3.7355583027922816,12.662033684412638,4.603199196850935,-0.1982831666033404,0.55624052318938,6.13727876440684,2.2199063911982053,69171.2,62205.51581671863,10.559292682559269,5.779181623592224,5.89147093873262,2.1888476267022083,5.919162890618873,2.169616544273824,6.121222596718329,2.1921335264785284,68413.60266666667,61377.76316659457,0.0120102764942948,0.0408219035450864,6.191331632075537,2.2456214221064403,4.629909718036652,1.7270757028579455,10.18470255724589,3.748318722474109,68479.2,61583.613542098494,10.61066243358014,5.794013930640965,5.921156316832867,2.1998912631344703,6.085616049637584,2.2087174714771107,4.523849818229675,1.6867338312265756,10.02378529548645,3.686917821215409,66369.0,60939.29804372065,7.40043462812856,2.536475204529148,-3.170460025907961,1.9932296607853728,1.234175540327436,1.002292541987103,750,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task2_unseen_buildings_transfer,False,11,results\transfer_task1_to_task2_final_seed11_r001
direct_rf_sparse_anchor,0.01,11,692.0,621.9023101027053,69171.2,62205.51581671863,692.0,621.9023101027053,3.2,0.5419639901526325,8.521551383844164,3.7660347131340512,6.531141783714294,3.102183481456669,5.093535186767578,2.837658942621908,14.258218500773111,6.2425228271451925,17.264883820851644,7.237541540880812,-0.9761162162893452,2.100509021175054,8.232081793785095,3.698046349608601,69171.2,62205.51581671863,2.7159717430259827,2.025356128776443,8.8027053408366,3.831766312916608,9.182754089017552,3.9075537753616816,8.368434508192665,3.5491625558825666,68413.60266666667,61377.76316659457,0.0120102764942948,0.0408219035450864,8.52222266501318,3.7664334269440354,6.531772729237875,3.102557573987952,14.258995382944743,6.2429695815045925,68479.2,61583.613542098494,2.7163417382685338,2.026384158991386,8.803349340707772,3.832182189877583,8.42770120247077,3.74962844699778,6.44707696501414,3.0893565029182746,14.118683468500771,6.225851439081471,66369.0,60939.29804372065,9.880804516205853,4.01939571087563,-0.809169306406579,1.3691558385344924,3.5954662598288185,1.8375115108377016,750,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task2_unseen_buildings_transfer,False,11,results\transfer_task1_to_task2_final_seed11_r001
multi_wall,0.01,11,692.0,621.9023101027053,69171.2,62205.51581671863,692.0,621.9023101027053,3.2,0.5419639901526325,9.330720690250743,3.5580737585373807,7.346999402364095,2.954894631418709,6.186600550333659,2.740525233836561,14.892554267247515,5.718224633201282,17.925280466715495,6.63883898524847,0.0238622341408239,0.5560471937660565,9.317398887316386,3.549927099288205,69171.2,62205.51581671863,9.100271816113263,4.80226563242147,9.379668020013272,3.5632293269955277,9.60634660507274,3.611648264508752,9.274016490912135,3.4809511645161977,68413.60266666667,61377.76316659457,0.0120102764942948,0.0408219035450864,9.333178122796376,3.559329318511331,7.348446721394857,2.95563410951488,14.895021139144898,5.719329536967098,68479.2,61583.613542098494,9.101696288886831,4.805286622450613,9.38212783733568,3.564568341248648,9.215158413322392,3.532700140484621,7.28422549533844,2.945070191648639,14.770619203567504,5.694775528229719,66369.0,60939.29804372065,10.93496644298498,4.333295576033719,0.0,0.0,4.404635566235397,2.0914435697232583,750,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task2_unseen_buildings_transfer,False,11,results\transfer_task1_to_task2_final_seed11_r001
log_distance,0.01,11,692.0,621.9023101027053,69171.2,62205.51581671863,692.0,621.9023101027053,3.2,0.5419639901526325,10.865847132504744,3.90017914233072,8.824106554985047,3.294825049509559,7.738349918365478,3.147621257952036,17.602157517115273,6.277705391327928,20.552375929514568,7.224622448134196,-0.0362284792240825,0.6545217124570906,10.849682853062948,3.8906994021637296,69171.2,62205.51581671863,13.409749038962625,5.883932339239284,10.603992305395009,3.8427384382358976,10.59987615938846,3.826260078180462,10.793873015846248,3.7929588674911496,68413.60266666667,61377.76316659457,0.0120102764942948,0.0408219035450864,10.866677720693389,3.9005305367640126,8.82473123105367,3.295208773989903,17.603721504211425,6.2786542212449,68479.2,61583.613542098494,13.41073213347319,5.886581606805348,10.604750544457836,3.843289553015983,10.846190151120789,3.8943159839133297,8.809975435256957,3.291505680762442,17.56725360171,6.266700121264848,66369.0,60939.29804372065,11.2268865174099,3.9952321313486023,1.5351264422539983,1.589997699494056,5.939762008489396,2.283561673407813,750,wallpath_pi_task1_final_seed11_r001,wallpath_pi_task1_to_task2_unseen_buildings_transfer,False,11,results\transfer_task1_to_task2_final_seed11_r001
