task,scope,baseline_method,metric,num_buildings,buildings,cluster_mean_paired_difference,cluster_median_paired_difference,cluster_mean_improvement_percent,bootstrap_iterations,confidence,difference_ci_low,difference_ci_high,improvement_percent_ci_low,improvement_percent_ci_high,bootstrap_probability_wallpath_better,wallpath_building_wins,baseline_building_wins,building_ties,sign_test_p_two_sided,difference_ci_excludes_zero
task2,Ant1-f1 source-like,direct_extra_all_features,free_space_rmse,5,"B21,B22,B23,B24,B25",-0.06811933621222079,-0.06315264772115571,-2.7641134219774366,20000,0.95,-0.15652273404099298,0.026356059102444006,-5.51021336052556,0.441249729337049,0.07435,1,4,0,0.375,False
task2,Ant1-f1 source-like,direct_extra_all_features,high_wall_rmse,5,"B21,B22,B23,B24,B25",-0.08068383271385876,-0.05962508697921191,-2.7454055140102342,20000,0.95,-0.17814052674807218,0.016087895499800983,-5.197062975297334,0.1189431412743291,0.0663,1,4,0,0.375,False
task2,Ant1-f1 source-like,direct_extra_all_features,los_rmse,5,"B21,B22,B23,B24,B25",-0.5690958850390428,-0.4409593633827004,-74.82654089848121,20000,0.95,-0.8279381210002738,-0.35318203085430716,-100.7420906904957,-48.91099110646671,0.0,0,5,0,0.0625,True
task2,Ant1-f1 source-like,direct_extra_all_features,mae,5,"B21,B22,B23,B24,B25",-0.012764651854832975,0.016759409507115693,-0.533892879268096,20000,0.95,-0.08744579950968426,0.053879689137140904,-3.6464089991903963,2.5682594792568123,0.3764,3,2,0,1.0,False
task2,Ant1-f1 source-like,direct_extra_all_features,nlos_rmse,5,"B21,B22,B23,B24,B25",-0.0807805722339566,-0.06159167430970534,-2.8876715707558156,20000,0.95,-0.17810743768774592,0.013867746993613358,-5.511767288953325,0.027911794103227906,0.0591,1,4,0,0.375,False
task2,Ant1-f1 source-like,direct_extra_all_features,non_anchor_rmse,5,"B21,B22,B23,B24,B25",-0.0907343283630301,-0.06592680398281228,-3.339684150482401,20000,0.95,-0.19293792691839917,0.003886465979167758,-6.035327417978015,-0.39139070694641653,0.03615,1,4,0,0.375,False
task2,Ant1-f1 source-like,direct_extra_all_features,p90_ae,5,"B21,B22,B23,B24,B25",-0.027840091069539365,-0.10134101390838621,-1.0944075811705802,20000,0.95,-0.15626609325408936,0.16035496711730962,-3.368676653921772,2.340156466170695,0.3118,1,4,0,0.375,False
task2,Ant1-f1 source-like,direct_extra_all_features,rmse,5,"B21,B22,B23,B24,B25",-0.08868041352909366,-0.06481807365083052,-3.2871172309291063,20000,0.95,-0.1774884470234555,0.006516546850884564,-5.9935538751691,-0.31104326352695955,0.045,1,4,0,0.375,False
task2,Ant1-f1 source-like,direct_extra_all_features,wall_region_rmse,5,"B21,B22,B23,B24,B25",-0.2746064370845348,-0.2750464361742812,-6.3320085510835105,20000,0.95,-0.44478358757622427,-0.12901755807231235,-9.422527274110475,-3.28746035428138,0.0,0,5,0,0.0625,True
task2,Ant1-f1 source-like,direct_rf_all_features,free_space_rmse,5,"B21,B22,B23,B24,B25",-0.0619289321955299,-0.04980971114993864,-2.3295819778513462,20000,0.95,-0.14580219116205226,0.02194432677099247,-5.049646179867312,0.3904822241646213,0.0798,2,3,0,1.0,False
