task,verified_seed,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,wallpath_improvement_percent,wallpath_map_win_rate,winner
task2,11,direct_rf_all_features,rmse,750,750,0,4.817997633338018,4.926085124015347,0.10808749067732971,0.0035486486186683264,2.1941864169254357,0.504,wallpath_extra
task2,11,direct_rf_all_features,non_anchor_rmse,750,750,0,4.838799326164887,4.94517352937508,0.10637420321019352,0.0018706089939137804,2.1510711925135575,0.504,wallpath_extra
task2,11,direct_rf_all_features,mae,750,750,0,3.248854552666346,3.4270805604457855,0.17822600777943928,0.0775566101074221,5.200519936311511,0.6906666666666667,wallpath_extra
task2,11,direct_rf_all_features,p90_ae,750,750,0,7.970702411651612,8.262123429616292,0.291421017964681,-0.02083277702331543,3.52719274224416,0.4706666666666667,wallpath_extra
task2,11,direct_rf_all_features,los_rmse,750,711,39,2.7463180828683655,2.2277830545582247,-0.5185350283101411,-0.2956456421753285,-23.275831425738524,0.28551336146272854,baseline
task2,11,direct_rf_all_features,nlos_rmse,750,750,0,4.9576321288493235,5.078382137296553,0.12075000844722933,0.006416574733214997,2.3777259210255153,0.52,wallpath_extra
task2,11,direct_rf_all_features,high_wall_rmse,750,750,0,5.149886406937307,5.2829922521024475,0.13310584516514096,0.009910113814652455,2.5195161910784294,0.532,wallpath_extra
task2,11,direct_rf_all_features,free_space_rmse,750,750,0,4.665151568263224,4.799014881231133,0.13386331296790868,0.015723431959096312,2.7893914955639416,0.5413333333333333,wallpath_extra
task2,11,direct_rf_all_features,wall_region_rmse,750,750,0,6.932061491520331,6.766674205096611,-0.1653872864237205,-0.08148931119239489,-2.444144367097676,0.3586666666666667,baseline
task2,11,multi_wall_residual_idw,rmse,750,750,0,4.817997633338018,5.6321986127742285,0.8142009794362112,0.7813827843709751,14.456183728846936,0.956,wallpath_extra
task2,11,multi_wall_residual_idw,non_anchor_rmse,750,750,0,4.838799326164887,5.660606659808548,0.8218073336436613,0.7880298806884922,14.51800810465527,0.9573333333333334,wallpath_extra
task2,11,multi_wall_residual_idw,mae,750,750,0,3.248854552666346,3.932383859793345,0.6835293071269989,0.6978018283843994,17.382059623317645,0.9546666666666667,wallpath_extra
task2,11,multi_wall_residual_idw,p90_ae,750,750,0,7.970702411651612,8.881396409988403,0.910693998336792,0.9637069702148429,10.253950575976829,0.9493333333333334,wallpath_extra
task2,11,multi_wall_residual_idw,los_rmse,750,711,39,2.7463180828683655,4.866164516218313,2.1198464333499474,1.8401988546792398,43.562983254774196,0.9817158931082982,wallpath_extra
task2,11,multi_wall_residual_idw,nlos_rmse,750,750,0,4.9576321288493235,5.728374702513085,0.7707425736637609,0.7321915825145817,13.454821196065092,0.952,wallpath_extra
task2,11,multi_wall_residual_idw,high_wall_rmse,750,750,0,5.149886406937307,5.919792044785953,0.7699056378486451,0.7411837199816032,13.00561965731152,0.9453333333333334,wallpath_extra
task2,11,multi_wall_residual_idw,free_space_rmse,750,750,0,4.665151568263224,5.453094268136232,0.7879426998730075,0.7853744312474022,14.44946045545464,0.9546666666666667,wallpath_extra
task2,11,multi_wall_residual_idw,wall_region_rmse,750,750,0,6.932061491520331,7.926984737393953,0.9949232458736224,0.6123418765281117,12.551093244575986,0.9013333333333333,wallpath_extra
task2,11,direct_extra_all_features,rmse,750,750,0,4.817997633338018,5.470230101549173,0.652232468211156,0.06483395444404372,11.923309551940841,0.604,wallpath_extra
task2,11,direct_extra_all_features,non_anchor_rmse,750,750,0,4.838799326164887,5.487023638824001,0.6482243126591131,0.06212236057651532,11.813769273245622,0.6026666666666667,wallpath_extra
task2,11,direct_extra_all_features,mae,750,750,0,3.248854552666346,3.974104702234268,0.725250149567922,0.2426387071609497,18.249397132395167,0.7866666666666666,wallpath_extra
task2,11,direct_extra_all_features,p90_ae,750,750,0,7.970702411651612,9.168002900441488,1.1973004887898764,0.007529258728027344,13.059556173703,0.5133333333333333,wallpath_extra
task2,11,direct_extra_all_features,los_rmse,750,711,39,2.7463180828683655,2.3897579203217005,-0.356560162546665,-0.23568604179723973,-14.92034651353582,0.39943741209563993,baseline
task2,11,direct_extra_all_features,nlos_rmse,750,750,0,4.9576321288493235,5.619691049086255,0.6620589202369322,0.03996305540491374,11.781055478923168,0.5813333333333334,wallpath_extra
task2,11,direct_extra_all_features,high_wall_rmse,750,750,0,5.149886406937307,5.860207585520749,0.7103211785834425,0.03764866862452809,12.121092439429708,0.5773333333333334,wallpath_extra
