method,sparse_rate,sparse_seed,anchor_count,anchor_count_std,valid_count,valid_count_std,mw_anchor_count,mw_anchor_count_std,mw_design_rank,mw_design_rank_std,rmse,rmse_std,mae,mae_std,median_ae,median_ae_std,p90_ae,p90_ae_std,p95_ae,p95_ae_std,bias_db,bias_db_std,std_error_db,std_error_db_std,count,count_std,los_rmse,los_rmse_std,nlos_rmse,nlos_rmse_std,high_wall_rmse,high_wall_rmse_std,unclipped_rmse,unclipped_rmse_std,unclipped_count,unclipped_count_std,clipped_pixel_fraction,clipped_pixel_fraction_std,non_anchor_rmse,non_anchor_rmse_std,non_anchor_mae,non_anchor_mae_std,non_anchor_p90_ae,non_anchor_p90_ae_std,non_anchor_count,non_anchor_count_std,non_anchor_los_rmse,non_anchor_los_rmse_std,non_anchor_nlos_rmse,non_anchor_nlos_rmse_std,free_space_rmse,free_space_rmse_std,free_space_mae,free_space_mae_std,free_space_p90_ae,free_space_p90_ae_std,free_space_count,free_space_count_std,wall_region_rmse,wall_region_rmse_std,rmse_delta_vs_multi_wall,rmse_delta_vs_multi_wall_std,rmse_delta_vs_direct_rf,rmse_delta_vs_direct_rf_std,num_rows,train_source,target_dataset,retrained
wallpath_extra,0.01,33,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,5.32388381842928,2.4674333511100226,3.7438436886748754,1.9769487996664656,2.539276853338018,1.7305776450918593,8.822854963637687,4.135166285666364,11.235836000012922,4.79251899373248,-1.0097265127345632,1.6042920965194456,5.1179514659847225,2.1555831792011677,69171.2,62169.63276029986,4.247359907264939,2.6357046402739583,5.4228586270203305,2.502646789168969,5.607143903545521,2.574182586188623,5.061981251448177,2.0551999654543054,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,5.3449299702004485,2.4727229313454497,3.7677031869501683,1.9831130453358723,8.854444396818007,4.139653696530027,68479.2,61548.08922805352,4.264389798178686,2.6437913380470435,5.444326523820248,2.507996825178899,5.195684591650217,2.437785384084697,3.6495907793066524,1.9527723734564746,8.631872601079511,4.114486862510647,66369.0,60904.145401047186,7.185751455117048,2.895552852967373,-4.828050101367703,2.16987132603838,-0.5385761051919342,0.7684771210345659,5550,wallpath_pi_task1_final_seed33_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
multi_wall_residual_idw,0.01,33,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,5.857407163064892,2.09282603607931,4.158446584521113,1.4944786034496853,3.01146162565764,1.1359651673125513,9.28683937957695,3.328859783914247,11.855010778495858,4.225422491140345,0.003168244244640133,0.44645133648953256,5.843827695653245,2.0834687157157634,69171.2,62169.63276029986,5.9435013633021345,3.1130715330879006,5.901021475124752,2.138449168142414,6.0406881862469435,2.2001049935054455,5.863409809434746,2.108684688400688,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,5.8869506237687,2.103395307707232,4.2005006512006124,1.509610202425748,9.32430787082191,3.341547805212658,68479.2,61548.08922805352,5.972537670713501,3.125147922435649,5.930779757756883,2.1492257546610967,5.6935150231172145,2.002179423098565,4.065887050542745,1.456453736308814,9.105297890998221,3.2599795432656617,66369.0,60904.145401047186,8.006043487465565,3.337478194514812,-4.2945267567320915,1.8001805918177798,-0.005052760556322537,1.8316574680763673,5550,wallpath_pi_task1_final_seed33_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
direct_rf_all_features,0.01,33,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,5.8624599236212145,2.9285968990654228,4.297756164342434,2.3520992240084437,3.1050567501514883,2.092741424688055,9.823297217300347,5.05182017337022,12.051184684177777,5.323500845399978,-1.9798611291144637,2.102086032457043,5.394423098134565,2.346944864914891,69171.2,62169.63276029986,4.924416506048773,2.427560538262137,5.936452613540658,3.006876342534974,6.10714343007061,3.1512700430279765,5.394817243694553,2.092702307572522,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,5.880479507615535,2.930297201572678,4.317135552124934,2.3550431403728815,9.849220806328026,5.049483713589706,68479.2,61548.08922805352,4.937766554018423,2.4375015575593464,5.954991875066994,3.008407906156779,5.774343967602973,2.9098954090555424,4.2266858612631895,2.3310422214897017,9.686888713407086,5.049990964510457,66369.0,60904.145401047186,7.236380062401713,3.2120552551701462,-4.289473996175769,2.393761591224828,0.0,0.0,5550,wallpath_pi_task1_final_seed33_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
wallpath_calibrated,0.01,33,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,6.18800959996978,2.4000022636582,4.727115286470534,1.937899442584393,3.7202964617754963,1.7327939992307,10.10246700016228,3.9379529146219774,12.494255890287794,4.703255698344875,-2.7569358378398414,1.7705098531457988,5.4224032047202995,1.9786304104008539,69171.2,62169.63276029986,5.6621015148822895,2.5944872099759215,6.183115203636057,2.477132536287563,6.2873382082297224,2.58093067802742,5.990994330888972,2.1307917137600136,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,6.209631752053127,2.404377314719606,4.750100892384847,1.941451408519918,10.132599205111598,3.9432901124066784,68479.2,61548.08922805352,5.6837960347797285,2.6037097092483203,6.204827115732777,2.481809395481736,6.117217412345462,2.3694004456008226,4.67766051859469,1.919127171875872,9.99200807648736,3.898010011559251,66369.0,60904.145401047186,7.244494095118443,2.8843539114126244,-3.9639243198272047,2.0162502581963384,0.32554967634856413,1.2980343915688946,5550,wallpath_pi_task1_final_seed33_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
idw,0.01,33,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,6.297004538281542,2.0570189098514,4.669484316336142,1.593346871373714,3.544024077750541,1.3165895719263245,10.319938103272035,3.465822356186485,12.896063388532346,4.254053897671417,-0.18156202622554357,0.5650586190933027,6.274014490402497,2.0419645626320544,69171.2,62169.63276029986,11.109475090354055,5.685018992690407,5.977485621556533,2.011564944888857,5.967658965443425,2.003561879287722,6.265094125594762,2.030186810517749,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,6.328764838306008,2.067408147815886,4.716706121827031,1.609480124180387,10.358343055828197,3.477738664241402,68479.2,61548.08922805352,11.162753759879577,5.701613904046973,6.00763169608592,2.0217117120415407,6.228826354785501,2.0351986508253708,4.614400423174506,1.5728727378799636,10.204525021905297,3.4246455068200747,66369.0,60904.145401047186,7.443629936466515,2.311973504604005,-3.85492938151544,1.9989514042873653,0.43454461466032795,1.7642567692682165,5550,wallpath_pi_task1_final_seed33_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
wallpath_rf,0.01,33,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,6.391973063187667,4.2254428849902315,4.328087128540417,2.997139561988903,2.6957928360260284,2.007749662221405,10.695930814743042,7.64496857669442,14.041960797567626,9.644084070246972,-1.4612786137757048,2.714281364564758,6.057043265072075,3.5388369792049263,69171.2,62169.63276029986,4.346322304946682,2.7071956493813683,6.530118312802337,4.314587903069511,6.7923828244986515,4.519294351217875,5.787446671068647,2.965973721746789,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,6.409190633888718,4.223011932856763,4.349361330281507,2.997974396058045,10.720838762575442,7.635628671847378,68479.2,61548.08922805352,4.364380292871944,2.716171382530534,6.547595511360111,4.311919859995972,6.262017069525061,4.214355162392427,4.229458337388597,2.9774295466625995,10.49596919601028,7.637866300076981,66369.0,60904.145401047186,8.269376507747857,4.476721981160845,-3.7599608566093163,3.3235943736348785,0.5295131395664522,1.4436118746312723,5550,wallpath_pi_task1_final_seed33_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
direct_extra_all_features,0.01,33,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,7.835648297584545,5.065556799515046,6.263995720878378,4.579536196657879,5.210699888865153,4.571487049536575,12.652214575286385,7.814368904616955,15.088091605461395,8.191872366147974,-5.001263583787216,4.9293430905836075,5.65471414084907,2.4026044919954113,69171.2,62169.63276029986,8.813306697961929,4.393500918748982,7.625783911897745,5.2683073415772945,7.792005092061331,5.512662853546558,7.313101927496324,4.078658213849705,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,7.848561595033299,5.064656895876106,6.275040958894266,4.576489242975989,12.673305121928722,7.813443340846458,68479.2,61548.08922805352,8.81354815161293,4.395260268232648,7.640419559083159,5.267101490495085,7.809507372044902,5.074259646830736,6.2546267532013555,4.599953272129181,12.592879161061468,7.816980584445085,66369.0,60904.145401047186,8.274449678463231,5.012961009047273,-2.3162856222124364,3.8843817171081985,1.9731883739633318,2.3764137548431323,5550,wallpath_pi_task1_final_seed33_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
multi_wall,0.01,33,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,10.151933919796983,3.26711124854307,8.097553907944276,2.707592165383402,6.959676035116384,2.5472018030108075,16.254955009340165,5.210669593948317,19.349170289168487,6.076119303685014,0.014558650740663988,0.5836576931827786,10.137573754379341,3.2600614300455604,69171.2,62169.63276029986,10.885686497220258,4.730518263421337,10.118095255051152,3.2651755260076496,10.21075549436656,3.324416278716201,10.115163120373197,3.2333090488538665,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,10.153960806118327,3.268056504908422,8.098673157434206,2.7079997699985494,16.25714410489744,5.211589844891333,68479.2,61548.08922805352,10.88827076806931,4.733546795190164,10.12005261272106,3.266162425411396,10.055410186014193,3.2319943173320467,8.047085485329498,2.6981466453554352,16.153374251116503,5.1912446925154025,66369.0,60904.145401047186,11.51858709154305,4.061823320361939,0.0,0.0,4.289473996175769,2.393761591224828,5550,wallpath_pi_task1_final_seed33_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
log_distance,0.01,33,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,11.500380287557961,3.5951451843164555,9.367231956215592,3.051788237311516,8.270776831480834,2.9668913846927634,18.592423722292924,5.779051909244289,21.749067294833896,6.72873603147497,-0.024805818001756658,0.6693596816226607,11.483924859364828,3.5859868426178143,69171.2,62169.63276029986,14.2892869866505,5.666989222823802,11.210805260664722,3.5236692611358857,11.104775958244494,3.521439898368229,11.447096929192707,3.5268436429551104,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,11.501151354514391,3.595497108319054,9.367748383745417,3.0520296288275226,18.59338754344631,5.779409623639537,68479.2,61548.08922805352,14.291977317719736,5.6713196112832645,11.211350562582288,3.5239621261951815,11.483472042381008,3.5928065771290254,9.355164642505818,3.0510234910311245,18.56112547462051,5.77382098156182,66369.0,60904.145401047186,11.805626622671005,3.6772109202327337,1.3484463677609786,1.4726277886379293,5.637920363936747,2.559105634240577,5550,wallpath_pi_task1_final_seed33_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
direct_rf_sparse_anchor,0.01,33,692.0,621.5435677084434,69171.2,62169.63276029986,692.0,621.5435677084434,3.2,0.5416513599271573,12.24984055070805,3.882950705525652,10.039613903964963,3.390313629221268,9.004387838346464,3.60352875663682,19.668390906394066,6.071095176643536,22.968504324131185,6.976901241345865,-4.351166174456033,4.069245372589313,10.734393236744511,3.797899078853413,69171.2,62169.63276029986,12.00748864817935,6.185687534658934,12.185866901996254,3.860214935855462,12.051430774777462,3.823653289138677,12.048630289837014,3.7088971910008386,67398.9390990991,60514.300943472306,0.02768256888244562,0.06965538476710365,12.25072142078665,3.8834051653129773,10.040380637753117,3.3907079951202124,19.669668068241428,6.071911431838744,68479.2,61548.08922805352,12.007310330033777,6.185932005885781,12.186793949028749,3.8606851854586655,12.255636324694356,3.9006590825359906,10.058491009634894,3.4168732408080875,19.657517395620946,6.091303737626128,66369.0,60904.145401047186,11.941052425197077,3.9671058718612047,2.097906630911069,2.7475336675271977,6.387380627086837,2.828390740006293,5550,wallpath_pi_task1_final_seed33_r001,wallpath_pi_task1_to_task3_unseen_buildings_transfer,False
