method,sparse_rate,sparse_seed,anchor_count,anchor_count_std,valid_count,valid_count_std,mw_anchor_count,mw_anchor_count_std,mw_design_rank,mw_design_rank_std,rmse,rmse_std,mae,mae_std,median_ae,median_ae_std,p90_ae,p90_ae_std,p95_ae,p95_ae_std,bias_db,bias_db_std,std_error_db,std_error_db_std,count,count_std,los_rmse,los_rmse_std,nlos_rmse,nlos_rmse_std,high_wall_rmse,high_wall_rmse_std,unclipped_rmse,unclipped_rmse_std,unclipped_count,unclipped_count_std,clipped_pixel_fraction,clipped_pixel_fraction_std,non_anchor_rmse,non_anchor_rmse_std,non_anchor_mae,non_anchor_mae_std,non_anchor_p90_ae,non_anchor_p90_ae_std,non_anchor_count,non_anchor_count_std,non_anchor_los_rmse,non_anchor_los_rmse_std,non_anchor_nlos_rmse,non_anchor_nlos_rmse_std,free_space_rmse,free_space_rmse_std,free_space_mae,free_space_mae_std,free_space_p90_ae,free_space_p90_ae_std,free_space_count,free_space_count_std,wall_region_rmse,wall_region_rmse_std,rmse_delta_vs_multi_wall,rmse_delta_vs_multi_wall_std,rmse_delta_vs_direct_rf,rmse_delta_vs_direct_rf_std,num_rows
direct_extra_all_features,0.05,11,3458.8,3114.3119812353193,69171.2,62288.73393528756,3458.8,3114.3119812353193,3.4,0.490880693673816,2.2144667830528344,0.6532742402273451,1.3936795480251312,0.46476867769742686,0.7646204528808593,0.2933767743227881,3.5494094405174255,1.1991667930461622,4.914917687416077,1.4380197810480069,-0.10655128346616402,0.2314804108890547,2.2034767179489134,0.6408819363549261,69171.2,62288.73393528756,0.6942027981453386,0.2878196892240622,2.298497691525789,0.6823754801545963,2.3999432540910455,0.698741446401012,2.2144667830528344,0.6532742402273451,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,2.264581181762847,0.6650670787697179,1.4415315630435943,0.4793285618000226,3.6429465336799622,1.2131645032119374,65712.4,59174.42195997515,0.7003317668704315,0.2873187032877747,2.35074280764162,0.6948116973871635,2.120026552944353,0.6485435086991769,1.3261293392181397,0.45056583713848564,3.379429898262024,1.1971595659683483,66369.0,61020.822224712116,3.4791587726532627,0.5760354454494753,-3.654456192667706,1.0930687020620824,-0.012978223698851665,0.06506865713976877,250
direct_rf_all_features,0.05,11,3458.8,3114.3119812353193,69171.2,62288.73393528756,3458.8,3114.3119812353193,3.4,0.490880693673816,2.2274450067516853,0.6514701811422815,1.3677350032329558,0.45623789839082846,0.7222471694946289,0.27799322051633146,3.5269943976402285,1.192339193096112,4.950929831504822,1.4157658854846016,-0.05503361126946402,0.1680601167150006,2.2220461468696593,0.646101164246497,69171.2,62288.73393528756,0.7721611321281644,0.326998600602323,2.3094137786894873,0.6818542335338472,2.409703065706022,0.6996508568809773,2.2274450067516853,0.6514701811422815,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,2.27984989439339,0.6651777924378777,1.4213806750774383,0.4736245837212155,3.6257422914505004,1.2080800850613211,65712.4,59174.42195997515,0.7836724006301997,0.3333377654008283,2.3638905948517084,0.6963016755208629,2.1250836793873233,0.6380973199547482,1.2974019248485564,0.4379303095747705,3.3450375118255615,1.1815750892898764,66369.0,61020.822224712116,3.560751603289446,0.6487259849654882,-3.6414779689688546,1.0763287447975252,0.0,0.0,250
wallpath_extra,0.05,11,3458.8,3114.3119812353193,69171.2,62288.73393528756,3458.8,3114.3119812353193,3.4,0.490880693673816,2.24491106618243,0.6733427461031681,1.3223936996459962,0.47379027782554994,0.6353786582946778,0.2918644091757884,3.477819317817688,1.208309469090676,4.948189578056335,1.4155176694601954,0.00365246568294242,0.10738628762236135,2.2427780480384825,0.67205767113142,69171.2,62288.73393528756,0.9495441366058618,0.4914307932145974,2.3260812517250224,0.7066588726469972,2.431912195769603,0.7286211142010144,2.24491106618243,0.6733427461031681,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,2.3013423556244006,0.6901950725328678,1.3803982985019685,0.4953737877409096,3.584775813102722,1.2261840374681539,65712.4,59174.42195997515,0.9709791674490784,0.5011047985401702,2.384602840849976,0.724361924604135,2.1245477963971715,0.6466247435950367,1.2472420740127563,0.4517736797955643,3.285068067550659,1.1938590147653583,66369.0,61020.822224712116,3.730298489140726,0.8780324581883963,-3.6240119095381096,1.0597529040958835,0.01746605943074428,0.1200623852067921,250
wallpath_rf,0.05,11,3458.8,3114.3119812353193,69171.2,62288.73393528756,3458.8,3114.3119812353193,3.4,0.490880693673816,2.2915881732888703,0.6998272078094363,1.3320837519168853,0.4866849026636989,0.6327517471313476,0.3009392175202319,3.5026237363815307,1.2295940020537597,5.000528102874756,1.4494581393082904,0.0038979153805412353,0.11646336479052072,2.2891798214912416,0.698190878726293,69171.2,62288.73393528756,1.0776122661162766,0.6084125613137841,2.372344417215227,0.7333578886877761,2.4811281331157597,0.7552611716199359,2.2915881732888703,0.6998272078094363,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,2.3483527469339,0.7173558511331183,1.3884546015262604,0.5085786384394869,3.6091026639938355,1.2468318444555855,65712.4,59174.42195997515,1.1019128074958993,0.6204637234263223,2.431173562331454,0.75177247455879,2.16459757690532,0.6679486399668528,1.255572531938553,0.463981727216876,3.3064517159461975,1.2131543557813846,66369.0,61020.822224712116,3.8338760653460584,0.9864466314181036,-3.577334802431669,1.0559971208596746,0.06414316653718492,0.14900939843607391,250
wallpath_calibrated,0.05,11,3458.8,3114.3119812353193,69171.2,62288.73393528756,3458.8,3114.3119812353193,3.4,0.490880693673816,2.411340190675119,0.6146558415164601,1.6092360513210298,0.4215703977430016,0.9835740394592285,0.2834721463693246,3.9325882596969604,1.0755783516440443,5.23452818775177,1.3662207057339975,-0.17561613949388266,0.26532025726994374,2.393294622898102,0.6030840820820879,69171.2,62288.73393528756,0.7600791360254235,0.3128431950553304,2.5028313404222726,0.6415797532219156,2.611922633098752,0.6566148074121982,2.411340190675119,0.6146558415164601,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,2.468877104035081,0.627994693117169,1.671949123620987,0.4382419576686665,4.025175895690918,1.0941134018413547,65712.4,59174.42195997515,0.7780891411342941,0.31932461823458963,2.5626020475980518,0.6557131946088908,2.3213509369069554,0.5998803102875826,1.5443298053741454,0.4062662850340978,3.7801203117370608,1.05917178662182,66369.0,61020.822224712116,3.6251818385911694,0.6446540256432998,-3.4575827850454215,1.0430968972593906,0.1838951839234328,0.1013231947852966,250
multi_wall_residual_idw,0.05,11,3458.8,3114.3119812353193,69171.2,62288.73393528756,3458.8,3114.3119812353193,3.4,0.490880693673816,2.983198594999054,0.7118756279638639,1.9839355597496033,0.4519525922609481,1.3401732482910156,0.31585992813218733,4.579792251586914,1.1136027715871242,6.015324956893921,1.4773879026789294,-0.0017383397815283388,0.09527110646090857,2.9818963823318483,0.7112047923148348,69171.2,62288.73393528756,2.390415901198293,1.1097559502708534,3.050259868308598,0.75744834324236,3.1710097472463996,0.7879810369288028,2.983198594999054,0.7118756279638639,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.0607144544013947,0.7303845251870733,2.088376854419708,0.4757615412673053,4.684199726104736,1.1394506178107515,65712.4,59174.42195997515,2.450731603264761,1.1330695753082645,3.129537713266525,0.7771216273501798,2.8627508488775937,0.6719046227720876,1.9200632963180542,0.43566895722327403,4.449953281402588,1.0899097812982628,66369.0,61020.822224712116,4.4975652652671965,1.3255255698382098,-2.885724380721486,0.8909320802054679,0.7557535882473685,0.28343855161289994,250
idw,0.05,11,3458.8,3114.3119812353193,69171.2,62288.73393528756,3458.8,3114.3119812353193,3.4,0.490880693673816,3.372926405336415,0.6711475396534331,2.4709622797966,0.5026822696168943,1.8761493453979492,0.41159517676952034,5.501463379859924,1.1326864756860997,6.919624660491944,1.412349898368887,-0.07878035830607405,0.13243215757833793,3.3697846593856813,0.6695841132645819,69171.2,62288.73393528756,6.309710197903311,2.619755774722044,3.18172043283707,0.6657947998942132,3.1814541499019566,0.6444883344888844,3.372926405336415,0.6711475396534331,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.460568940282344,0.6886023015158034,2.6010420994758605,0.5291674030936409,5.607782645225525,1.1527569562089195,65712.4,59174.42195997515,6.468749560895226,2.6724143314938695,3.2644244431604257,0.6831638033304782,3.3340227258160904,0.6694668720180773,2.440225501537323,0.4992844072162817,5.433290133476257,1.1263446645498076,66369.0,61020.822224712116,4.025567566086197,0.5458408474429406,-2.4959965703841247,1.0220903385235443,1.1454813985847294,0.2548183363654911,250
direct_rf_sparse_anchor,0.05,11,3458.8,3114.3119812353193,69171.2,62288.73393528756,3458.8,3114.3119812353193,3.4,0.490880693673816,5.008724719622082,1.0157120544693823,3.6373364543914795,0.8343510551239889,2.6812271881103515,0.9201973657262322,8.427859939575196,1.7767609561330662,10.440791362762452,2.179792305468043,-1.0425598577102646,0.9168272229622969,4.813570687294006,1.0124832263218515,69171.2,62288.73393528756,0.8367757499576897,0.42633012705076745,5.2100151214615655,1.0703383677345542,5.485055743279221,1.0581393316795369,5.008724719622082,1.0157120544693823,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,5.009120324322665,1.0159531532284638,3.637449902534485,0.8347832932237423,8.428808950424195,1.7769026243148933,65712.4,59174.42195997515,0.8344979674312868,0.4256073668568146,5.210481696597868,1.0705600504324937,4.942971631774863,1.0135582286737799,3.5735811557769774,0.8373943164414763,8.33402414894104,1.7731195805429525,66369.0,61020.822224712116,5.954432068985352,1.1109814262705042,-0.8601982560984588,0.8010665335592974,2.7812797128703957,0.7898680291354537,250
multi_wall,0.05,11,3458.8,3114.3119812353193,69171.2,62288.73393528756,3458.8,3114.3119812353193,3.4,0.490880693673816,5.86892297572054,1.2425005612474298,4.545780791282654,1.007045748759512,3.7427676010131834,0.9744466789187031,9.35356297492981,1.9886641161965626,11.399780141830444,2.3999172197686534,0.0021934716744581237,0.12562071722283763,5.867726622581482,1.242266617217308,69171.2,62288.73393528756,5.6607781944775155,2.0356641202672794,5.907537612326222,1.272987094850358,6.060658086589983,1.3024481541950466,5.86892297572054,1.2425005612474298,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,5.870432494743222,1.2424806707757896,4.546415512084961,1.007167022658656,9.353692714691162,1.9883016180753894,65712.4,59174.42195997515,5.663699236298791,2.0350055924845427,5.909077740679835,1.2730237608272097,5.786375247016992,1.2317371415542935,4.49925045967102,1.0073300747210745,9.263972995758056,1.9873921155462575,66369.0,61020.822224712116,7.076531792530553,1.7060804875642506,0.0,0.0,3.6414779689688546,1.0763287447975252,250
direct_rf_geometry,0.05,11,3458.8,3114.3119812353193,69171.2,62288.73393528756,3458.8,3114.3119812353193,3.4,0.490880693673816,7.0681496332998694,2.42231862720765,5.0414641551971435,1.9180449933399222,3.5006003303527833,1.7253829478771645,12.091741779327393,4.569386328505347,14.993753448486329,5.140805200670032,-2.7711464195773003,2.9605574088080586,6.069060928344727,1.6037074973809171,69171.2,62288.73393528756,0.8149672749981246,0.39159346948975393,7.328278861713148,2.4230288384124554,7.719241476263666,2.41281560112842,7.0681496332998694,2.42231862720765,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,7.0684563785516366,2.4229267531850573,5.041115827560425,1.9182097169092418,12.093396287918091,4.572094889179871,65712.4,59174.42195997515,0.8121543778792052,0.39165622166483316,7.3287162125902165,2.4238608289136923,6.9979885615747754,2.4582302597784613,4.975785442352295,1.937515909072434,12.00168850517273,4.623904598440168,66369.0,61020.822224712116,8.238990342080182,2.152378592412477,1.1992266575793293,2.0497282557981173,4.840704626548184,2.0154448274506285,250
