method,sparse_rate,sparse_seed,anchor_count,anchor_count_std,valid_count,valid_count_std,mw_anchor_count,mw_anchor_count_std,mw_design_rank,mw_design_rank_std,rmse,rmse_std,mae,mae_std,median_ae,median_ae_std,p90_ae,p90_ae_std,p95_ae,p95_ae_std,bias_db,bias_db_std,std_error_db,std_error_db_std,count,count_std,los_rmse,los_rmse_std,nlos_rmse,nlos_rmse_std,high_wall_rmse,high_wall_rmse_std,unclipped_rmse,unclipped_rmse_std,unclipped_count,unclipped_count_std,clipped_pixel_fraction,clipped_pixel_fraction_std,non_anchor_rmse,non_anchor_rmse_std,non_anchor_mae,non_anchor_mae_std,non_anchor_p90_ae,non_anchor_p90_ae_std,non_anchor_count,non_anchor_count_std,non_anchor_los_rmse,non_anchor_los_rmse_std,non_anchor_nlos_rmse,non_anchor_nlos_rmse_std,free_space_rmse,free_space_rmse_std,free_space_mae,free_space_mae_std,free_space_p90_ae,free_space_p90_ae_std,free_space_count,free_space_count_std,wall_region_rmse,wall_region_rmse_std,rmse_delta_vs_multi_wall,rmse_delta_vs_multi_wall_std,rmse_delta_vs_direct_rf,rmse_delta_vs_direct_rf_std,num_rows
direct_extra_all_features,0.005,22,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,3.185693231467593,0.9262949357531403,2.155402494907379,0.6790876873358185,1.337502124786377,0.516406975821694,5.318757776260376,1.6122160159212204,6.963280645370483,2.0546624022856586,-0.23438165537267924,0.42971381039362216,3.1557837409973146,0.8994629532659129,69171.2,62288.73393528756,0.7595713767822964,0.3662461411909769,3.3093930164533965,0.9637243835697528,3.457435682829391,0.9809510383340092,3.185693231467593,0.9262949357531403,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.19240061249452,0.9277209282799541,2.16232474565506,0.6809528883978787,5.329839338302612,1.6142711281374134,68825.0,61977.186267776655,0.7600178603177848,0.3667876747801353,3.3163817327958833,0.9651971597078418,3.1011203647687497,0.9176593094594272,2.083256752252579,0.6644555901122954,5.172169711112976,1.6097253324102307,66369.0,61020.822224712116,4.4023549724596345,0.8553971859883635,-2.8701241686215364,1.24600326560538,-0.02111825633480462,0.10672220459456624,250
direct_rf_all_features,0.005,22,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,3.206811487802398,0.903367578194578,2.151055176973343,0.6671985133400743,1.3294884147644044,0.5177459945404709,5.328884965896607,1.5482678718723277,6.993223624229431,1.9666423165023577,-0.1977836336698383,0.4210894684031308,3.1770277972221375,0.8892521595510475,69171.2,62288.73393528756,0.8178329638881741,0.5568322805722583,3.3300425594941863,0.9401426146186407,3.4793227363785277,0.9534599475201042,3.206811487802398,0.903367578194578,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.2138205735289467,0.905142133910337,2.158391189336777,0.6695417010192081,5.340236249923706,1.5502032189479615,68825.0,61977.186267776655,0.8185873303914252,0.5578680024290708,3.3373359710811807,0.9419697921165704,3.1184501708470385,0.8900942727700741,2.077029970884323,0.6510106462043527,5.176613564491272,1.5416249347606208,66369.0,61020.822224712116,4.450997102251184,0.8825701879136605,-2.8490059122867306,1.2328336330362482,0.0,0.0,250
wallpath_extra,0.005,22,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,3.326178539124794,0.9773668708675102,2.2284581422805787,0.6961199782301248,1.383479118347168,0.5387029334868384,5.413303550720215,1.537497561466939,7.130911864280701,1.941072447308311,-0.02854429153559613,0.3407345140560227,3.3120090098381043,0.9660236299180266,69171.2,62288.73393528756,1.491974948676187,0.9501186737147843,3.4404633851652915,1.0229871118698268,3.5855024197120495,1.0523640685852549,3.326178539124794,0.9773668708675102,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.3341024598955307,0.9796587072673257,2.2376151185035704,0.6990507376554794,5.4256683397293095,1.5399933489424316,68825.0,61977.186267776655,1.4949222042662587,0.9513907254117271,3.44867456902869,1.0254010444418187,3.220287580861793,0.9412828534251121,2.1528661155700686,0.6727560587008594,5.257027339935303,1.5104500962851353,66369.0,61020.822224712116,4.741830674303693,1.28659892243556,-2.729638860964335,1.1146347721931396,0.1193670513223961,0.3743509216086669,250
wallpath_rf,0.005,22,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,3.3365618863735933,0.9964846185743959,2.2166351261138915,0.7103962782973565,1.3564035606384277,0.5579517272105708,5.414677273750305,1.5391074841297363,7.1600635671615604,1.951665755350727,-0.025418120661983266,0.35247617048859853,3.3212993035316467,0.9851690345173203,69171.2,62288.73393528756,1.6836298859822145,1.0279495708792126,3.4464695777871985,1.039864217602223,3.5937062572788663,1.068222898912214,3.3365618863735933,0.9964846185743959,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.3444052931691104,0.998795225095719,2.2254984278678895,0.713277811514465,5.427056387901306,1.5417985335396704,68825.0,61977.186267776655,1.6873929971399653,1.0296383287896067,3.4545854271937433,1.0422992939327818,3.2264168546551226,0.9571450482900857,2.1393694860935213,0.6859094001137933,5.254980801582336,1.511922991095039,66369.0,61020.822224712116,4.786411568913011,1.336260177731058,-2.7192555137155354,1.1201248095473864,0.12975039857119539,0.37115420715044917,250
wallpath_calibrated,0.005,22,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,3.340694543187049,0.9015362310226518,2.312365788936615,0.6400088511583594,1.5067636489868164,0.47664737020719916,5.54308966255188,1.5617780660037517,7.192255109786987,1.9872867174628293,-0.4026032394340727,0.5204432197332131,3.2835745120048525,0.8714776492204992,69171.2,62288.73393528756,0.8547947364517335,0.4270657983543407,3.470549735504928,0.9393802107276408,3.627697101051833,0.9567587871487264,3.340694543187049,0.9015362310226518,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,3.3480647237859222,0.9032473786419608,2.3206812858581545,0.6422919145856911,5.554399656295776,1.5641759370842985,68825.0,61977.186267776655,0.8561731864390094,0.4277586713726824,3.478222026529027,0.9411970956251388,3.2521992942537836,0.8813602448819587,2.241689507007599,0.6220307359039536,5.399115302085876,1.5433423186355903,66369.0,61020.822224712116,4.574142191270292,1.0189113503894616,-2.7151228569020804,1.17371945909116,0.13388305538465062,0.19836105640499915,250
multi_wall_residual_idw,0.005,22,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,4.075180120026953,1.3353319157140549,2.7360416407585144,0.7136797065539152,1.8897541351318359,0.5146405641924239,6.149626851081848,1.595591023444417,7.9982235107421875,2.109145966794122,-0.00992629519989714,0.3930120654822141,4.060726540565491,1.3218433820202202,69171.2,62288.73393528756,3.417888312833509,1.8303263017179554,4.150942021110493,1.4412826981510516,4.306166184996557,1.512244457296308,4.075180120026953,1.3353319157140549,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,4.085422717076685,1.3386922711302867,2.749812553882599,0.7172781356957723,6.163166273117065,1.5991530577274198,68825.0,61977.186267776655,3.426180863574701,1.8330515375773853,4.161379369291905,1.444905581876436,3.9320484554121964,1.2361583462933172,2.66182052898407,0.6878332810744255,6.014543929100037,1.5626038636141406,66369.0,61020.822224712116,5.881434792518629,2.576315136598234,-1.9806372800621752,0.8656156422840887,0.8683686322245556,0.9003598394377995,250
idw,0.005,22,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,4.771028589687134,1.125317690261494,3.510724458694458,0.845286967205879,2.622158851623535,0.6847566902413469,7.826336919784546,1.8881121796978464,9.820024229049682,2.4345427730499267,-0.1104326933430275,0.6180587006395517,4.735328663825989,1.1016653101562188,69171.2,62288.73393528756,8.722119052135747,4.080985313162839,4.482937192087509,1.1054382669815692,4.467597153967822,1.0595541763671956,4.771028589687134,1.125317690261494,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,4.783020145485756,1.1281524995237076,3.528394380569458,0.8495504062726439,7.841400772094727,1.891998138305357,68825.0,61977.186267776655,8.74249322093976,4.082935294742795,4.494211416444211,1.1082296604566018,4.731618592404846,1.1221943732876143,3.476931052207947,0.8407979755007498,7.761490858078003,1.8842982382114455,66369.0,61020.822224712116,5.4326643533501775,1.021716377160731,-1.2847888104019953,1.3240391514257108,1.5642171018847357,0.5861053718388949,250
direct_rf_sparse_anchor,0.005,22,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,5.031928046389917,1.0594021952869166,3.6464574737548827,0.8616121637553521,2.6741643753051756,0.9391334181438201,8.477626140594483,1.8361890643451138,10.550891860961913,2.3010581954194906,-1.008590634535998,0.9621097764949949,4.838822975158691,1.0439605882459317,69171.2,62288.73393528756,0.8209079053253393,0.415791089000437,5.23220496791277,1.1060664131640374,5.5077403804003735,1.0924151475045996,5.031928046389917,1.0594021952869166,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,5.032281431712886,1.0596371765288934,3.6465700826644896,0.8618058426507609,8.47809280014038,1.8364477806824273,68825.0,61977.186267776655,0.8206119744529796,0.4160504340096445,5.232573536737934,1.106255169228416,4.962531005007772,1.0558959559087986,3.5802226152420045,0.8647811879136836,8.371497453689575,1.8300107680315834,66369.0,61020.822224712116,6.017314627154859,1.1765557728999083,-1.023889353699212,1.0821667638715988,1.8251165585875189,0.7086917201301073,250
multi_wall,0.005,22,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,6.055817400089129,1.4510678729362474,4.605787878990173,1.039196813930538,3.765987144470215,0.9969812745939399,9.433573015213012,2.0360565832875177,11.58434896659851,2.4874453592608536,-0.0033090654066763817,0.46797493085850583,6.040413730621338,1.4404425448381977,69171.2,62288.73393528756,5.681677017070101,2.2097016854651774,6.102872399143579,1.5377616262878775,6.273630532399667,1.5968916816036571,6.055817400089129,1.4510678729362474,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,6.057421100498471,1.4525966656234381,4.606573189735412,1.0393755125795079,9.435304389953613,2.0368512406026547,68825.0,61977.186267776655,5.682610787924321,2.2096573961583483,6.104484834264534,1.5395966583740468,5.948789303874688,1.3899307559675105,4.552659896850586,1.0350526210492939,9.330752906799317,2.029063860400385,66369.0,61020.822224712116,7.525675296974921,2.557948779467935,0.0,0.0,2.8490059122867306,1.2328336330362482,250
direct_rf_geometry,0.005,22,346.2,311.54776203999364,69171.2,62288.73393528756,346.2,311.54776203999364,3.4,0.490880693673816,6.694947712670335,2.1986574727574975,4.817282141685486,1.7376287433187334,3.499749885559082,1.6745285187966459,11.274182744979859,3.8092198936901314,14.072014652252196,4.651281647946632,-1.8967357342531905,2.760215809504049,5.973671698570252,1.6669602085450355,69171.2,62288.73393528756,0.8476529416892078,0.5172941494247714,6.9541576327053205,2.261780416663055,7.328429440655198,2.2772713258846107,6.694947712670335,2.1986574727574975,69171.2,62288.73393528756,3.7878787878787874e-06,7.5909546975019154e-06,6.694793205791584,2.198582799697199,4.816973608970642,1.7376000095609416,11.274043630599975,3.8089921907567548,68825.0,61977.186267776655,0.8474177657161912,0.5175825665951062,6.953996213373543,2.2616692453880827,6.620091755838351,2.2117088402346563,4.74441401386261,1.7487595465061476,11.168222133636474,3.826406592402556,66369.0,61020.822224712116,7.795022676988558,2.1593957510294746,0.6391303125812065,2.0160256694947596,3.488136224867938,1.6928641953129029,250
