method,sparse_rate,sparse_seed,feature,importance
direct_rf_geometry,0.05,22,x_norm,0.010329448696015738
direct_rf_geometry,0.05,22,y_norm,0.011015879239517657
direct_rf_geometry,0.05,22,distance_m,0.08773017431918816
direct_rf_geometry,0.05,22,log10_distance_m,0.09241428163435368
direct_rf_geometry,0.05,22,fspl_db,0.09378056257265763
direct_rf_geometry,0.05,22,los,7.043342635160384e-05
direct_rf_geometry,0.05,22,wall_count,0.0027917185312550915
direct_rf_geometry,0.05,22,wall_fraction,0.00988244716830913
direct_rf_geometry,0.05,22,mat_1_count,0.011279206624066061
direct_rf_geometry,0.05,22,mat_2_count,0.0019188445347542592
direct_rf_geometry,0.05,22,mat_3_count,0.004736257998621167
direct_rf_geometry,0.05,22,transmittance_sum,0.6353437413540086
direct_rf_geometry,0.05,22,reflectance_sum,0.007465726121456484
direct_rf_geometry,0.05,22,anchor_dist_px_nn_1,0.001089233324716293
direct_rf_geometry,0.05,22,anchor_dist_px_nn_2,0.0011118452093876925
direct_rf_geometry,0.05,22,anchor_dist_px_nn_3,0.0011446554058549454
direct_rf_geometry,0.05,22,anchor_dist_px_nn_4,0.0013670889243784453
direct_rf_geometry,0.05,22,anchor_density,0.026528454915107285
direct_rf_sparse_anchor,0.05,22,x_norm,0.006044650715192266
direct_rf_sparse_anchor,0.05,22,y_norm,0.006130316960556039
direct_rf_sparse_anchor,0.05,22,distance_m,0.004128252578938958
direct_rf_sparse_anchor,0.05,22,log10_distance_m,0.0039596430076964065
direct_rf_sparse_anchor,0.05,22,fspl_db,0.003967078836297113
direct_rf_sparse_anchor,0.05,22,los,2.5621349775755262e-05
direct_rf_sparse_anchor,0.05,22,wall_count,0.0018242805146883021
direct_rf_sparse_anchor,0.05,22,wall_fraction,0.004999266212882302
direct_rf_sparse_anchor,0.05,22,mat_1_count,0.0034830774838582163
direct_rf_sparse_anchor,0.05,22,mat_2_count,0.0009365322020427421
direct_rf_sparse_anchor,0.05,22,mat_3_count,0.0014653064882504349
direct_rf_sparse_anchor,0.05,22,transmittance_sum,0.031233481137809892
direct_rf_sparse_anchor,0.05,22,reflectance_sum,0.0036130526070683035
direct_rf_sparse_anchor,0.05,22,fspl_pred_db,0.004238679644100098
direct_rf_sparse_anchor,0.05,22,log_distance_pred_db,0.016420358391430787
direct_rf_sparse_anchor,0.05,22,multi_wall_pred_db,0.9015945483902221
direct_rf_sparse_anchor,0.05,22,anchor_dist_px_nn_1,0.0006244348532569129
direct_rf_sparse_anchor,0.05,22,anchor_dist_px_nn_2,0.0006519343532865907
direct_rf_sparse_anchor,0.05,22,anchor_dist_px_nn_3,0.0006657905440668781
direct_rf_sparse_anchor,0.05,22,anchor_dist_px_nn_4,0.0008103563071170045
direct_rf_sparse_anchor,0.05,22,anchor_density,0.0031833374214629445
direct_rf_all_features,0.05,22,x_norm,0.00030240304992446514
direct_rf_all_features,0.05,22,y_norm,0.00030242992879020805
direct_rf_all_features,0.05,22,distance_m,0.0003905974125537042
direct_rf_all_features,0.05,22,log10_distance_m,0.00043543010463252015
direct_rf_all_features,0.05,22,fspl_db,0.0003934737133300887
direct_rf_all_features,0.05,22,los,2.575511727705084e-06
direct_rf_all_features,0.05,22,wall_count,0.0007997473392449966
direct_rf_all_features,0.05,22,wall_fraction,0.0006089280553286499
direct_rf_all_features,0.05,22,mat_1_count,0.00025280183711224495
direct_rf_all_features,0.05,22,mat_2_count,4.790561454199185e-05
direct_rf_all_features,0.05,22,mat_3_count,0.00011189246961826557
direct_rf_all_features,0.05,22,transmittance_sum,0.0004690687672550356
direct_rf_all_features,0.05,22,reflectance_sum,0.0002572419410507903
direct_rf_all_features,0.05,22,fspl_pred_db,0.00043065365818193454
direct_rf_all_features,0.05,22,log_distance_pred_db,0.0023851097883613574
direct_rf_all_features,0.05,22,multi_wall_pred_db,0.0010926731396320862
direct_rf_all_features,0.05,22,multi_wall_residual_idw_pred_db,0.9771429176813173
direct_rf_all_features,0.05,22,anchor_residual_idw,0.0010844019212074
direct_rf_all_features,0.05,22,anchor_residual_nn_1,0.008681256937294499
direct_rf_all_features,0.05,22,anchor_residual_nn_2,0.0016547660268778934
direct_rf_all_features,0.05,22,anchor_residual_nn_3,0.0011054091857608164
direct_rf_all_features,0.05,22,anchor_residual_nn_4,0.0008328862125816522
direct_rf_all_features,0.05,22,anchor_dist_px_nn_1,0.0005328864742156084
direct_rf_all_features,0.05,22,anchor_dist_px_nn_2,0.00018668263535585105
direct_rf_all_features,0.05,22,anchor_dist_px_nn_3,0.00016514725426198984
direct_rf_all_features,0.05,22,anchor_dist_px_nn_4,0.0001782572077360916
direct_rf_all_features,0.05,22,anchor_density,0.00015245613210475395
direct_extra_all_features,0.05,22,x_norm,0.00022152914729522011
