sparse_rate,method,rmse,non_anchor_rmse,mae,p90_ae
0.005,direct_extra_all_features,3.185693231467593,3.19240061249452,2.155402494907379,5.318757776260376
0.005,direct_rf_all_features,3.206811487802398,3.2138205735289467,2.151055176973343,5.328884965896607
0.005,wallpath_extra,3.326178539124794,3.3341024598955307,2.2284581422805787,5.413303550720215
0.005,wallpath_rf,3.3365618863735933,3.3444052931691104,2.2166351261138915,5.414677273750305
0.005,wallpath_calibrated,3.340694543187049,3.3480647237859222,2.312365788936615,5.54308966255188
0.005,multi_wall_residual_idw,4.075180120026953,4.085422717076685,2.7360416407585144,6.149626851081848
0.005,idw,4.771028589687134,4.783020145485756,3.510724458694458,7.826336919784546
0.005,direct_rf_sparse_anchor,5.031928046389917,5.032281431712886,3.6464574737548823,8.477626140594483
0.005,multi_wall,6.055817400089129,6.057421100498471,4.605787878990173,9.433573015213012
0.005,direct_rf_geometry,6.694947712670335,6.694793205791584,4.817282141685486,11.27418274497986
0.005,log_distance,7.500633208514376,7.501340540838652,6.027122391700745,12.181028232574462
0.01,direct_extra_all_features,2.879273669396942,2.891471544889906,1.91099862742424,4.781071276664734
0.01,direct_rf_all_features,2.8897299192495,2.902516837649641,1.8990029711723329,4.777639476776123
0.01,wallpath_extra,2.959541842008365,2.973784427254929,1.9153066427707672,4.78986074924469
0.01,wallpath_rf,2.979596753258156,2.9937966441239543,1.9137778468132016,4.803972579956055
0.01,wallpath_calibrated,3.0179166374641464,3.031452429494948,2.0638705978393554,4.989912959098816
0.01,multi_wall_residual_idw,3.676604459568258,3.695148852600645,2.455594575405121,5.56601501083374
0.01,idw,4.254425988488364,4.275884706451949,3.120638788700104,6.957015922546387
0.01,direct_rf_sparse_anchor,5.045408583952111,5.0460288417888695,3.662933620452881,8.461163312911987
0.01,multi_wall,5.959750731512236,5.9617777733938055,4.562365286827087,9.370019901275636
0.01,direct_rf_geometry,6.285626961230178,6.285093909701248,4.426608061790466,10.628701023101806
0.01,log_distance,7.467602007364036,7.468595355353894,6.004722551345825,12.127782093048095
0.05,direct_extra_all_features,2.2202653660035865,2.2704753967602667,1.3993111419677735,3.5646011290550232
0.05,direct_rf_all_features,2.235667237864825,2.2882529382306847,1.3727454464435578,3.536749419212341
0.05,wallpath_extra,2.2570908763012367,2.3137548695005816,1.3268717346191403,3.48692045211792
0.05,wallpath_rf,2.2969527012899285,2.353978664754259,1.3347827315330505,3.512812138080597
0.05,wallpath_calibrated,2.4057111404953946,2.463099637883539,1.606521511554718,3.924741910934448
0.05,multi_wall_residual_idw,2.999649167658973,3.0775925915679045,1.9905462279319763,4.587569974899292
0.05,idw,3.3742689461855444,3.461946277265976,2.47191730594635,5.499531079292297
0.05,direct_rf_sparse_anchor,4.993410352719855,4.994030532826673,3.62996342086792,8.393165758132934
0.05,multi_wall,5.869102361161546,5.871313076452275,4.541784777641296,9.316456539154052
0.05,direct_rf_geometry,7.081104282921388,7.0805589263723885,5.052658596992493,12.114236572265623
0.05,log_distance,7.444406360065143,7.444908997705572,5.99492265033722,12.084923997879027
0.1,direct_extra_all_features,1.9387101809140632,2.034373501405047,1.1834511110782624,3.0341696462631225
0.1,direct_rf_all_features,1.949692032101034,2.0489117525218,1.1373381834030152,2.9765616521835327
0.1,wallpath_extra,1.952078818534176,2.054992003718683,1.084796161174774,2.905850410223007
0.1,wallpath_rf,1.9869394032808376,2.0904172737079105,1.0912952927350998,2.9233961799144743
0.1,wallpath_calibrated,2.17803489680968,2.2912759414588675,1.429559068441391,3.537529751300812
0.1,multi_wall_residual_idw,2.7518698739319363,2.900731549781414,1.7962678060531616,4.235395778656006
0.1,idw,3.07641258650699,3.2428301492677294,2.2214348397254944,5.033487200737
0.1,direct_rf_sparse_anchor,4.954334344677579,4.953963500149581,3.608803318977356,8.337018301010131
0.1,multi_wall,5.861036470725059,5.863193744566959,4.542925638198852,9.34360983657837
0.1,direct_rf_geometry,6.548077442525394,6.5469711237333685,4.7139421043396,11.087047231674196
0.1,log_distance,7.441819813624373,7.4425333203618464,5.989633759498596,12.089864683151244
