method,sparse_rate,sparse_seed,scene_id,sample_id,anchor_count,valid_count,mw_anchor_count,mw_design_rank,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,los_rmse,nlos_rmse,high_wall_rmse,unclipped_rmse,unclipped_count,clipped_pixel_fraction,non_anchor_rmse,non_anchor_mae,non_anchor_p90_ae,non_anchor_count,non_anchor_los_rmse,non_anchor_nlos_rmse,free_space_rmse,free_space_mae,free_space_p90_ae,free_space_count,wall_region_rmse,rmse_delta_vs_multi_wall,rmse_delta_vs_direct_rf
log_distance,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,7.336451705126208,6.001692771911621,5.558052062988281,11.614059448242188,13.359283447265625,-0.06057465821504593,7.3364152908325195,17170,11.866834998310729,7.25872876199294,7.183240076819553,7.336451705126208,17170,0.0,7.354532863636077,6.016216278076172,11.62610149383545,15453,12.31569465179268,7.268357106618749,7.360352034228348,6.031208038330078,11.654191970825195,15797,7.055645452062022,0.6654211876224414,4.878098921859019
multi_wall,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,6.671030517503767,5.348993301391602,4.753288269042969,10.457291603088379,12.590120315551758,-0.05419023334980011,6.6710052490234375,17170,8.43932046431326,6.6448664175852326,6.625912361099471,6.671030517503767,17170,0.0,6.696974335540688,5.364611625671387,10.46778678894043,15453,8.754069140430378,6.6662610661368875,6.634575992739236,5.3474907875061035,10.451805114746094,15797,7.076960343797542,0.0,4.212677734236578
idw,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,3.688232100574884,2.731522798538208,2.2056655883789062,5.926535606384277,7.308874130249023,-0.38681748509407043,3.6679983139038086,17170,10.169929667820297,3.525879317282272,3.4982760156567023,3.688232100574884,17170,0.0,3.8877379923879505,3.035025119781494,6.150867462158203,15453,10.771618740696239,3.71637169025054,3.619480656535265,2.6778042316436768,5.818946838378906,15797,4.402678982536403,-2.982798416928883,1.2298793173076952
multi_wall_residual_idw,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,3.2492502340836866,2.1640191078186035,1.5502147674560547,4.852458953857422,6.121341228485107,-0.04996410384774208,3.2489607334136963,17170,5.293087341000892,3.21402788155408,3.2281697736110178,3.2492502340836866,17170,0.0,3.4250104758465727,2.404465675354004,5.024087429046631,15453,5.606245142370506,3.387671884325942,3.1057268033782948,2.087458848953247,4.735194206237793,15797,4.588204723100505,-3.4217802834200803,0.7908974508164976
direct_rf_geometry,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,6.118028864276957,4.893955230712891,4.1562957763671875,10.454724311828613,11.888379096984863,-3.401887893676758,5.085168838500977,17170,1.1480961843926907,6.156390807629421,6.237186701773563,6.118028864276957,17170,0.0,6.1345724437794935,4.9115777015686035,10.451082229614258,15453,1.18686893140793,6.172579849556185,6.141325207217464,4.916133403778076,10.536526679992676,15797,5.843315733828665,-0.5530016532268096,3.6596760810097684
direct_rf_sparse_anchor,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,4.926177299656642,4.008296966552734,3.503305435180664,7.953858375549316,9.34109878540039,0.37168169021606445,4.912278652191162,17170,1.1864732901793706,4.9563384208371515,5.0176239197610135,4.926177299656642,17170,0.0,4.936496983103853,4.01567268371582,7.9543352127075195,15453,1.2264036069943183,4.966312142843446,4.885744361535775,3.982797384262085,7.875597953796387,15797,5.369518166388477,-1.7448532178471252,2.4678245163894528
direct_rf_all_features,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,2.458352783267189,1.5594295263290405,0.8806533813476562,3.9701454639434814,5.379812717437744,-0.03165791928768158,2.4582204818725586,17170,1.0082214029691872,2.4716484162562415,2.4969412707814636,2.458352783267189,17170,0.0,2.5860191321540777,1.7014814615249634,4.152191162109375,15453,1.0618970857893435,2.5998633198325,2.3062223684719356,1.460861086845398,3.7449676990509033,15797,3.7925032569787884,-4.212677734236578,0.0
direct_extra_all_features,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,2.3954619489697753,1.587296724319458,0.9276618957519531,3.9567368030548096,5.320066452026367,-0.1163235679268837,2.3927056789398193,17170,1.0308014801987095,2.4081538096171258,2.4314824578771597,2.3954619489697753,17170,0.0,2.5192518138387707,1.7205666303634644,4.163282871246338,15453,1.0852421095616924,2.5324642530206836,2.261735657464044,1.4952107667922974,3.7585067749023438,15797,3.5921751386362195,-4.275568568533991,-0.06289083429741371
wallpath_rf,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,2.571521984579605,1.5296415090560913,0.77056884765625,4.00937557220459,5.366909980773926,-0.04879813641309738,2.571133852005005,17170,1.9443350141508045,2.578692660136145,2.6058049647238426,2.571521984579605,17170,0.0,2.7082658599753824,1.6753593683242798,4.232551574707031,15453,2.0584985968366447,2.715639720937511,2.3852434252220074,1.4257439374923706,3.7584075927734375,15797,4.151646531707895,-4.099508532924162,0.11316920131241615
wallpath_extra,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,2.494904114003275,1.5042338371276855,0.7611827850341797,3.9511361122131348,5.332732677459717,-0.016485704109072685,2.494922161102295,17170,1.7067089862257663,2.503543102349049,2.530175470802847,2.494904114003275,17170,0.0,2.6277722387520654,1.6511744260787964,4.145306587219238,15453,1.8064304937376172,2.6367054930080993,2.3215106035507027,1.4010511636734009,3.7132949829101562,15797,3.97909054884885,-4.176126403500492,0.03655133073608585
wallpath_calibrated,0.1,33,B21,B21_Ant1_f1_S0,1717,17170,1717,3,2.529873894846972,1.7486789226531982,1.1351509094238281,4.172530174255371,5.428539752960205,0.04826886206865311,2.529487133026123,17170,1.1008389621764418,2.543209445257195,2.5690104789926838,2.529873894846972,17170,0.0,2.6641037190278536,1.911972165107727,4.3657331466674805,15453,1.1657130581863362,2.6779750557137554,2.4011601755575884,1.6570712327957153,3.9835152626037598,15797,3.701713640439266,-4.141156622656795,0.07152111157978291
log_distance,0.1,33,B21,B21_Ant1_f1_S1,1717,17170,1717,3,7.2818526582678205,5.504896640777588,4.347736358642578,11.909128189086914,15.799688339233398,0.00732029415667057,7.2820611000061035,17170,12.574461196934148,6.495859755751326,6.711012688929188,7.2818526582678205,17170,0.0,7.3025284163285145,5.520659923553467,11.956079483032227,15453,12.593294686412428,6.514866658399266,7.284182729089747,5.497402667999268,11.917922973632812,15797,7.254990279718966,1.9970141794917478,4.506083394953253
multi_wall,0.1,33,B21,B21_Ant1_f1_S1,1717,17170,1717,3,5.284838478776073,3.827338695526123,2.6943817138671875,8.736883163452148,10.6860990524292,0.08327222615480423,5.284336090087891,17170,7.352729068980501,5.023607186646896,5.25373876154175,5.284838478776073,17170,0.0,5.311960244730353,3.83974027633667,8.749773025512695,15453,7.35536193181406,5.053779583644761,5.194368907701288,3.7705023288726807,8.707206726074219,15797,6.231955112861885,0.0,2.509069215461505
idw,0.1,33,B21,B21_Ant1_f1_S1,1717,17170,1717,3,3.8371067368282845,2.822903633117676,2.1128387451171875,6.586630344390869,7.873617172241211,-0.18652008473873138,3.8326823711395264,17170,6.517268669215263,3.444378330103557,3.495831218314448,3.8371067368282845,17170,0.0,4.0446656378512245,3.136559247970581,6.80294942855835,15453,6.85935888343179,3.631263837896274,3.8160858275051592,2.813220500946045,6.560672760009766,15797,4.071161157334609,-1.4477317419477882,1.0613374735137167
multi_wall_residual_idw,0.1,33,B21,B21_Ant1_f1_S1,1717,17170,1717,3,3.429363122504129,2.2155230045318604,1.4024085998535156,5.320124626159668,6.821288108825684,0.05868283286690712,3.4289608001708984,17170,3.581142282553943,3.4133394837256623,3.579253271977875,3.429363122504129,17170,0.0,3.6148661303000282,2.4616923332214355,5.571882724761963,15453,3.7691157715655987,3.598540881931481,3.3092016919521092,2.145728826522827,5.224194526672363,15797,4.590934953983047,-1.8554753562719437,0.6535938591895611
direct_rf_geometry,0.1,33,B21,B21_Ant1_f1_S1,1717,17170,1717,3,4.9342470297045,3.547644853591919,2.6474838256835938,8.215973854064941,10.096424102783203,-1.3618727922439575,4.7427215576171875,17170,0.6819923194322651,5.177613720280133,5.4765072812875735,4.9342470297045,17170,0.0,4.950380020002194,3.551835298538208,8.232995986938477,15453,0.6985404355848388,5.195147185805325,4.8289389858911616,3.4718236923217773,8.151847839355469,15797,6.014652376030454,-0.35059144907157247,2.1584777663899324
direct_rf_sparse_anchor,0.1,33,B21,B21_Ant1_f1_S1,1717,17170,1717,3,4.479486296574248,3.179213285446167,2.16448974609375,7.703089714050293,9.345412254333496,-0.78220134973526,4.410792827606201,17170,0.7082761507285625,4.699126137407086,4.943306424335243,4.479486296574248,17170,0.0,4.491948186158448,3.1846871376037598,7.7225189208984375,15453,0.7201599491179846,4.712766870978254,4.391112090713899,3.0991508960723877,7.620863437652588,15797,5.393078778850798,-0.8053521822018244,1.7037170332596805
